Poster Session B 11:30-1:00pm,,,,,,
Improvements in Healthcare and Healthcare Education,,,,,,
Abstract number,Presenter first name,Presenter Last Name,Title,Abstract,"Significance
",
45,Mohammad,Saleem,The Impact of Social Determinants of Health and Social History on Mental Health Patient Return to Emergency Departments: An Explainable AI Framework,"Introduction: The return of mental health patients to emergency departments (EDs) within a month of being discharged poses a substantial challenge to healthcare systems and healthcare providers. To develop effective interventions, it is important to understand the factors that contribute to return. This research investigates the relationship between social determinants of health (SDoH) and social history and the risk of return to ED among mental health patients. 
Method: We retrospectively analyzed data from 300,000 mental health patients who visited the UABHS ED between 2018 and 2022. Our dataset included patient demographics, mental health diagnoses, two SDoH, and three social history factors: social support, alcohol/tobacco use, substance abuse, diet, and socioeconomic status. To predict readmission within 30 days, we developed XAI model using an XGBoost algorithm. The model development includes three stages: processing text data using advanced natural language processing (NLP) technique, feature selection, and model training and testing. Five measures are used to evaluate the proposed models: the area under the curve(AUC), accuracy, sensitivity, specificity, and f1 score. Additionally, SHAP (SHapley Additive exPlanations) is utilized to explain the features that have the most significant influence on the model’s predictions. 
Discussion/Results: This work is under development and will be ready by the time the poster is presented. Our analysis will reveal that several key predictors are associated with an increased risk of return within 30 days. 
Significance: This research provides a comprehensive explanation of how the clinical, SDoH, and social history factors affect mental health patients' return to ED within 30 days. It also provides an accurate risk score per patient. This allows social workers to identify patients at high risk of ED visit return and then develop strategies to minimize their return.
","This research provides a comprehensive explanation of how the clinical, SDoH, and social history factors affect mental health patients' return to ED within 30 days. 
This allows social workers to identify patients at high risk of ED visit return and then develop strategies to minimize their return.",
46,Pooja ,Arora,An exploratory analysis of tele-wellness program in people with chronic respiratory disease and mobility limitations,"An exploratory analysis of tele-wellness program in people with chronic respiratory disease and mobility limitations
Pooja Arora1, Salma Aly 2, Abebaw M. Yohannes,3 James Rimmer4
1.	Rehabilitation Science PhD Program, School of Health Professions, The University of Alabama at Birmingham, National Center on Health, Physical Activity and Disability, Birmingham, AL, United States.
2.	Department of Family and Community Medicine, The University of Alabama at Birmingham, Birmingham, AL, United States.
3.	School of Health Professions, The University of Alabama at Birmingham, Birmingham, AL, United States.
4.	School of Health Professions, The University of Alabama at Birmingham, National Center on Health, Physical Activity and Disability, Birmingham, AL, United States.

Abstract 
Introduction: The aim of the study is to examine the effects of 8-week tele-wellness, mindfulness, exercise, and nutrition to optimize resilience (MENTOR) program on physical activity, physical and mental health, coping abilities and mindfulness in people with chronic respiratory diseases (CRDs) and mobility limitations (ML). 
Methods: A sample of 32 participants with ML and CRDs was analyzed for demographic characteristics and self-reported questionnaires: PROMIS global health including physical and mental health scale, Godin Leisure -Time Exercise Questionnaire (GLTEQ), Connor-Davidson Resilience Scale-10 item (CD-RISC) and Mindfulness Attention Awareness Scale (MAAS). The outcomes measures were completed at baseline and at end of 8 weeks MENTOR program.
Results/Discussion: 32 participants were enrolled (mean age 54.5 ± 13.1[SD]. The PROMIS global physical health score at baseline showed that 87.6% of participants reported having poor to fair physical health and 8-weeks post-program, the percentage significantly decreased to 62%. The PROMIS global mental health scores showed that the percentage of participants with good to excellent health significantly increased from 64.6% to 70.9% (for baseline and post-program, respectively). 
The median GLTEQ score increased from 14.5 (0.0, 54.8) to 28.5 (2.3, 90.0) from baseline to post assessment with no statistically significant improvement (p=0.254). The participants showed minor increase in resilience measured by CD-RISC score from 26.7 + 6.8 to 27.4 + 8.1 post assessment with no statistically significant improvement (p=0.503), the MAAS scores showed no statistically significant improvement with a decrease in score at post assessment from 4.2 + 1.0 to 4.0 + 1.1 (p= 0.266). 
Significance: The MENTOR tele-wellness program is a promising intervention for people with CRDs. It showed trend of improvement in some of the outcome measures such as physical health, mental health, and leisure activities. However, further work is needed with the large sample size.
","1) The MENTOR program is free, online program that could be accessed by large number of people with COPD in the community 
2) This 8 weeks program includes multidimensional components of wellness and thus address the varied pulmonary and non pulmonary manifestations of COPD and its associated co-morbidities.",
47,Gavin,Bingham,Calm Down: How to Improve Undergraduate Student Performance,"In recent decades, undergraduate students are progressively experiencing more stress. It is reported that stress negatively affects students' academic achievement; however, the connection between the two is still unclear. There are a multitude of both perceived and physiological factors that can influence stress levels, such as depression, anxiety, and coping skills. The objective of our study was to identify these factors and their influences on undergraduate student stress and GPA. The study was conducted in a renowned, research-heavy university in the Deep South with a primarily white population. Participants were interviewed using validated tools such as the Perceived Stress Scale (PSS), Generalized Anxiety Disorder scale (GAD), Patient Health Questionnaire (PHQ), and the Brief COPE test at the start of the 2021 fall semester to assess perceived stress levels. Student GPA was also collected as a self-reported variable. Increased anxiety and depression were significantly correlated with increased perceived stress. Coping skills such as self-distraction, denial, behavioral disengagement, venting, and religion positively affected perceived stress, while active, instrumental support and acceptance decreased perceived stress. Student GPA was negatively modified only by those that practiced venting as a coping mechanism. University-reported GPA, rather than self-reported, should be used in future analysis. Further studies should be conducted to identify the most significant sources of increasing undergraduate student stress, specifically regarding students’ coping skills.",- Identification of negative and positive coping mechanisms can aid students and mentors in developing coping mechanisms that are most beneficial for student mental health and academic performance.,
48,Naira,Rehman,Racial Differences in Undergraduate Student Stress,"Introduction: Undergraduate students, particularly undergraduates in the (Science Technology Engineering and Mathematics) STEM fields, are under immense pressure to succeed. This high pressure continued as these students move into their chosen career and has led to high burnout rates. Additionally racial microaggressions cause more stress and lead to increased attrition from STEM fields for Black students and workers in the STEM fields.

Methods: This study focuses on differences in stress, depression and anxiety using the validates tools Perceived Stress Scale (PSS), Patient Health Questionnaire (PHQ9) and General Anxiety Disorder (GAD7) respectively, among undergraduate Black and White STEM students. To assess the physiological response to stress, nail samples were collected and analyzed for cortisol the stress hormone.

Results/Discussion: Our results show that Black students are under higher levels of stress, depression, and anxiety than White undergraduate students. Black students have significantly higher coping skills than White students. There was no significant difference in cortisol levels between Black and White students, and there was no correlation between PSS and cortisol levels. These results indicate that despite differences in stress, anxiety and depression, there is no physiological differences in the expression of stress in Black and White students.

Significance: It is essential that we adequately prepare our students to handle psychological stress to better prepare them for future careers in STEM. Further, improving coping skills and stress management techniques can help to increase diversity in STEM, by increasing retention of racial minorities.",- Improving coping skills and stress management techniques among STEM students will allow them to better handle psychological stress for their future careers as well as increase the retention of racial minorities in STEM fields.,
49,Leah,Cutright,Improving Stress Management in Undergraduates Through Interactive Workshops ,"Stress levels in college students is an important issue and the need for research on the effects of stress in students from different racial and ethnic backgrounds grows. Furthermore, undergraduate students should be given the opportunity to learn about how to handle stress and hardship in order to be prepared for future studies in graduate school and for their future careers. This research aims to measure the amount of stress in racial and ethnic groups of undergraduate students through the use of physiological tests, which will determine biological markers of stress in a variety of different samples, and psychological tests, which will aim to measure overall psychological well-being. Physiological tests will consist of urine, nails, feces, blood, and saliva samples while psychological tests will measure sleep quality, anxiety, depression, healthy eating, coping, stress, and resilience. This research aims to identify stress levels in a diverse group of students and to better understand coping skills and their impact on resilience and stress management. Additionally, seminars will be conducted to educate students on the importance of stress management and the implications of stress on both physical and mental health. These seminars will also work towards providing students with the skills and information to be self-sufficient in coping with stress and to improve resilience and grit. Long term follow-up of student stress and resilience will continue to be collected. This semester, students have been training on how to collect data and process samples. Sample collection and seminars will begin Fall 2024. ",Hope to understand the effects of stress ,
50,Hayden ,Parker,Do Racially Diverse Teams Improve Student Learning?,"Introduction: Diverse teams have higher cohesiveness, allow members to develop transferable skills and improve academic outcomes overall. While diversity improves team outcomes, it is unknown whether the racial make-up of a team impact individual student learning.  
Methods: To study the effects of team racial composition, randomly assigned teams from two Biomedical Sciences undergraduate courses were measured via CATME for overall grades and team effectiveness.  Data was analyzed by 1) if there was one member of a race on a team and 2) two or more members of the same race on the team. 
Results/Discussion: Our results show that grades are not affected by number of students of the same race for Black students, but team cohesiveness was improved when there was more than one Black student on a team. While individual grade increased with number of White students on the same team, there was no difference in team cohesiveness based on the number of White students on the team. Both average student grade and team cohesion increased with higher number of Asian students on the same team. This data highlights that those students of different races experience working and learning in diverse teams differently.

","Significance: While it is essential for students to learn how to work in diverse groups, this should not come at the cost of student learning. When creating teams in courses, ensuring at least two students of the same race are on the same team can improve both student learning and overall team effectiveness for many students.  ",
51,Donte,Johnson,The Noah Project ,"The Noah Project is a collaborative and interdisciplinary effort pioneering a pathway to
directly influence those impacted by this disorder. There are three rare genetic disorders that our team is focused on: Bohring-Opitz Syndrome (ASXL1), Shashi-Pena Syndrome (ASXL2), and Bainbridge-Ropers Syndrome (ASXL3). Due to its rarity, healthcare professionals know very little about the disorder or how to treat it. Furthermore, only a small number of ASXL-related websites are available to the public. After conducting a SWOT analysis on these websites, our team decided that each of them had room for improvement, and making revisions to the most outstanding website would be more beneficial. In order to effectively decide which elements to add or remove, we created a survey that would be given to the families who have an impact. The team has begun the process of fundraising for the 2024 ASXL Family Conference and the Miracle League. Currently, the team is in the early stages of brainstorming community events, which include but are not limited to interactions with campus-based programming and non-profits within the greater Birmingham area. For the Spring 2024 semester, the team will begin a protocol to screen cell lines that will be used to test drugs in the ASXL mutation and wild type. In conclusion, The Noah Project aims to raise awareness and improve resources for families impacted by ASXL.
",".Clinical research can bring awareness for a plethora of children and adults with rare genetic disorders. 
",
52,Victoria*Virtual,Moy,The Motivations and Methods Behind Sharing a Pediatric Prader-Willi Syndrome Diagnosis,"Introduction
Prader-Willi syndrome (PWS) is a rare genetic condition with a diverse phenotype. Sharing information about the diagnosis with the affected child can be challenging due to its early age of onset, variability, and cognitive phenotype. While there is literature addressing the challenges of disclosing genetic conditions to children, no research specific to PWS exists. This study aims to evaluate how parents have shared information about a PWS diagnosis with their child and to examine motivations and influencing factors behind disclosure. 

Methods
Parents of children aged at least 5 years with a diagnosis of PWS completed a survey, and interview invitations were offered to a subset of parents who fully disclosed, partially disclosed, or did not disclose the diagnosis to their child. A total of 51 surveys and 15 interviews were completed.

Results/Discussion
The majority of parents (90%) shared their child’s health differences or symptoms with them to some extent. Parents were more likely to disclose if their child was older (p=0.02), had at least 1 sibling (p=0.046), and if the parent felt more knowledgeable about PWS (p=0.004). Interview themes demonstrated that parents had some similar motivations for disclosure, experiences with disclosure conversations, and methods to approach disclosure conversations. 

Significance
Healthcare providers and genetic counselors can play an integral role in addressing many of the disclosure needs expressed by parents. This research compiles parents’ motivations for disclosure, and overall strategies and experiences, providing information and validation for others considering disclosure of PWS or other rare genetic diagnoses to their child. 
","- This research provides information and emotional validation for parents of the rare disease community, as rare genetic conditions and the nuances of disclosing them are not well-researched.
- This research provides genetic counselors and other healthcare professionals that interact with the rare disease community information about how parents approach disclosure and what needs parents have in terms of support and education.",
53,Alena,Karim,Qualitatively assessing diverse perspectives regarding the benefits of art in medicine,"Background: The observation and/or creation of art has shown increasing benefits in the development of empathy, stress reduction, and observation skills. Hypothesis: Incorporating art into medical practice can provide emotional relief while improving the clinical skills of physicians.
Methods/Results: Qualitative interviews will be conducted with UAB professors, residents, and artists regarding their demographics and current experiences with art using open-ended questions. The qualitative data will be coded in order to identify consensus themes from
respondents. We will conduct appropriate statistical analyses (i.e., t-tests, chi-square tests, ANOVA) of the data collected from the surveys and interviews.
Discussion/conclusion: These results are intended to make a novel contribution from the perspectives of healthcare professionals and artists regarding how the appreciation and/or creation of art can increase empathy, cultural awareness, perception skills, and enhance the overall well-being of physicians.","The results are intended to make a novel contribution from the perspectives of healthcare professionals and artists regarding how the appreciation and/or creation of art can increase empathy, cultural awareness, perception skills, and enhance the overall well-being of physicians.",
54,Celestina,Vong Do Rosario,,"Background/Significance- Service learning is often overlooked as a viable method of research; however, its impact is far-reaching. Service learning plays a significant role in education by merging community service, real-world learning, and personal growth. Its impact extends to community organizations, students, and society as a whole.

Hypothesis:- Through hosting different events and fundraising throughout the Birmingham community, we aim to eliminate disparities while aiding first-year students in this pivotal year of their college experience.

Methods/results: This study sought to address disparities and supported first-year college students through various events and fundraisers in the Birmingham community. This study partnered with six freshmen groups (e.g. Firebreathers, Green and Gold Dragons, and SpitFire) and collaborated with community partners such as Ronald McDonald House, Firehouse Ministries, and First Light. Notably, the combined groups raised over $2000 

Discussion/Conclusion- Throughout mentorship with freshman groups and their involvement with the community, we have positively impacted the Birmingham community. Students engaged in these projects develop industry-specific skills, gain insights into workplace dynamics, and expand their professional networks. Academic growth is also evident, fostering critical thinking and problem-solving abilities. Moving forward, we will maintain communication with our community partners and assess the impact of the freshman group’s service projects. Challenges such as improved team communication and time constraints for the freshman groups will be addressed to enhance future initiatives.







","Throughout mentorship with freshman groups and their involvement with the community, we have positively impacted the Birmingham community. Students engaged in these projects develop industry-specific skills, gain insights into workplace dynamics, and expand their professional networks. Academic growth is also evident, fostering critical thinking and problem-solving abilities.",
55,Samuel,Boadu Jr.,Examining the Extent of Diversity Signaling via Healthcare Organization Websites,"Background: Diversity, equity, and inclusion (DEI) have become central to corporate practices, especially in the healthcare industry. The study employs signaling theory to explore how healthcare organizations convey their commitment to DEI through their websites to external stakeholders. Signaling theory posits that organizations use signals to communicate information to stakeholders, and in healthcare, this information is crucial for prospective employees and patients. The corporate website, as a primary communication channel, serves as a vital tool for conveying organizational values, including DEI commitments.
Methods: The study analyzes a nationally representative sample of 78 hospitals and healthcare organizations, examining their websites for signals related to DEI. The signaling theory framework helps evaluate the extent of diversity signaling, considering variables such as gender and ethnic diversity in leadership, explicit diversity language in mission/vision/values, and the presence of diversity statements. A composite measure scale is developed to quantify the magnitude of diversity signaling.
Results: Quantitative analysis found while 88.5% of organizations exhibit observable C-Suite diversity (gender or ethnic diversity), explicit diversity language in core statements is less common (10.3%). Most organizations (78.2%) lack explicit diversity language in strategic statements, with organizational value statements being the primary location for such language. The composite score reveals a varied commitment to diversity signaling, with most organizations scoring low (49% with a score of 1) and some displaying no diversity signaling strategies (10%). 
Significance: The potential implications of the absence of diversity signals, suggests a possible unintended projection of a lack of commitment to DEI. The study emphasizes the impact on both potential employees and patients, as the absence of diversity signals may dissuade those seeking inclusive environments. The examination of C-Suite diversity underscores its role in shaping organizational culture and its potential influence on health equity efforts. Organizations who actively communicate their commitment to DEI through explicit language and diverse leadership are better positioned to attract talent and create inclusive environments.

Keywords: Signaling theory, websites, DEI, hospitals
",Organizations who actively communicate their commitment to DEI through explicit language and diverse leadership are better positioned to attract talent and create inclusive environments.,
Nutrition to Improve Health,,,,,,
Abstract number,Presenter first name,Presenter Last Name,Title ,Abstract,"Significance
",
56,Leandra,Durham,"Bioenhancing Assessment of Black Pepper with Turmeric on Self-Reported Pain Ratings: A Randomized, Crossover Clinical Trial ","Introduction: Chronic pain that lasts 3 months or longer is estimated to affect 51 million US adults. Those with chronic pain do not always tolerate pharmaceutical therapies. Integrative or alternative approaches may be safe and effective tools to combat chronic pain. Turmeric has been shown to exhibit pain relieving and anti-inflammatory properties, albeit with limited bioavailability. Black pepper is also shown to have bioenhancing effects, increasing the bioavailability or bioactive effectiveness of other dietary components. Black pepper may enhance dietary levels of turmeric to decrease pain in adults. 

Methods: A randomized, crossover clinical trial (NCT05206266) tested the effectiveness of turmeric only or turmeric with black pepper to reduce pain in adults aged 40 years and older. Participants (n=30, with moderate pain: 4–7 on 10-point scale) were enrolled in a 21-day trial and randomized into receiving one of three different amounts of turmeric (3 grams, 1 gram, or 300 mg) and two sequenced treatment periods: a 7-day treatment period (turmeric with or without black pepper), a 7-day washout period, and a 7-day treatment period (turmeric with or without black pepper). Participants were blinded to treatment assignment (via encapsulation of the spices) and, using an experience sampling methodology approach, were prompted to report current pain using the numeric pain rating scale (NPRS; 0-10) via text message three times per day for the full study period. Analysis of covariance (ANOVA) was used to analyze differences between turmeric amount and sequenced treatment groups.  

Results/Discussion: A total of n=29 participants (completers) were included in the analysis. Data collected included age (54.3±6.8 years), sex (predominately female, 93.10%), BMI (35.3±5.5), baseline pain ratings (4.3±2.2), washout period pain ratings (3.0±2.1), turmeric only pain ratings (3.0±1.9), and turmeric with black pepper (3.0±2.1) pain ratings. Results show significant differences in treatment periods and baseline for reported pain (p=&lt;0.0001). Turmeric amounts and pain ratings are statistically different between groups (p=&lt;0.0001). Turmeric at culinary amounts with or without black pepper may reduce pain in older adults. 

Significance: Providing a low cost, easy to implement, and generally well tolerated option for pain relief may help improve quality of life in those suffering from chronic pain. 
","-Could help improve Activities of Daily Living in adults with chronic pain
-Could provide more options for pain treatment in those suffering moderate pain",
57,Amanda,Finn,Post-Challenge Insulin Responses as Predictors of Fat Loss,"Introduction: Prior research has shown that insulin responses from oral glucose tolerance tests can be used to predict which diet an individual will lose more weight on. Therefore, we investigated insulin responses from different metabolic tests as predictors of diet-induced fat loss. We hypothesized 2 insulin response indices (AIRg and insulin-30) would predict fat loss in participants on a reduced carbohydrate diet, but not a standard carbohydrate diet.

Methods: This was a secondary analysis of a weight loss clinical trial where all food was provided during the study. Adults with obesity were assigned to either a reduced carbohydrate (43% carbohydrate) or standard carbohydrate (55% carbohydrate) diet for 16 weeks. AIRg from an intravenous glucose tolerance test and insulin-30 from a liquid meal tolerance test were collected at baseline. The outcome was 16-week fat mass loss and was measured using dual energy x-ray absorptiometry at baseline and follow-up. Multiple linear regression models were used to test the relationship between the insulin response and fat loss, adjusting for BMI, diet, and insulin sensitivity.

Results/Discussion: 
Higher AIRg at baseline was associated with greater 16-week fat loss. When testing this relationship by diet group, AIRg was associated with fat mass loss only in the reduced carbohydrate group. Insulin-30 did not predict fat mass loss in any model. More research is needed as the observation cannot solely attributed to AIRg.
 
Significance: This is the first study to show AIRg predicts fat mass loss during a diet intervention. This is relevant for prospective personalized nutrition trials.
",This study contributed to the understanding of whether pretreatment insulin variables are pertinent for predicting obesity outcomes in a diverse population. ,
58,Amelia,Fouts,"Household disorder, meal timing, and cardiometabolic biomarkers of children 4 to 10 years old","Introduction: Household disorder is associated with family meal patterns, eating behaviors, and obesity risk in children. Previous research in adults has suggested later meal timing, characterized by food intake late in the day, is adversely associated with biomarkers such as leptin, adiponectin, and HOMA-IR. However, little is known about whether household disorder is related to children’s meal timing, and if time of last daily food intake is adversely associated with cardiometabolic biomarkers.

Objective: This study investigated the relationships between 1) household disorder and meal timing, 2) meal timing and biomarkers, and 3) household disorder and biomarkers among children 4 to 10 years old.

Methods: Household disorder was assessed using the Confusion, Hubbub and Order Scale. Meal timing was collected via 24-hour dietary recalls and defined as the average time of child’s last food intake for the day. A fasted blood draw measured glucose, insulin, leptin, and adiponectin. HOMA-IR was derived from glucose and insulin. Linear regressions tested the relationships between household disorder, children’s meal timing, and biomarkers. 

Results/Discussion: Children (n = 182) were 53% female and 7.11 ± 2.06 years old. Household disorder was not associated with average time of child’s last food intake, fasting leptin, adiponectin or HOMA-IR. Similarly, children’s meal timing was not predictive of biomarkers.

Significance: Further investigation is needed to evaluate the relationship between household disorder and obesity risk in children; factors for future consideration include children’s sleep habits and diet quality, and caregiver feeding practices.

","Although previous research has demonstrated an adverse relationship between household disorder and obesity risk in children, household disorder may not be associated with children's cardiometabolic biomarkers or late night eating. 
 ",
59,Tsz Kiu *Virtual,Chui,Behavior-Based Identities Are Important in Weight Loss and Maintenance: Findings from Three Studies Using Data from IWCR,"Introduction: Identifying as someone who regularly engages in health promoting behaviors (i.e., behavior-based identities) may be associated with maintenance of behaviors such as healthy eating and exercising that are important for sustained weight loss. Three studies were conducted in a large sample of adults participating in the International Weight Control Registry (IWCR) to validate the psychometric properties of a four-item exercise identity measure (4-EI) and the adapted healthy eater identity measure (4-HEI) and investigate the role of 4-EI and 4-HEI in weight management.   

Methods: Data were collected via online surveys from December 2020 through October 2021. In Study 1 (n=839), exploratory factor analysis was used to assess the proposed unidimensional factor structure of the 4-EI and 4-HEI, and Spearman rank-order correlations was used to examine convergent and discriminant validity. In Study 2 (n=870), univariate analysis of variance was used to compare 4-EI and 4-HEI scores (-3 to +3, higher score=stronger identity) across three self-defined weight loss categories (Successful, Regain, and Unsuccessful) and those who have or have not maintained ≥ 5% weight loss for ≥ 1 year. In Study 3 (n=1283), two mediation analysis models were used to test whether eating and exercise behaviors mediated the associations between selected socioecological factors (environment, social support, and identity) and weight change during the COVID-19 pandemic.

Results: In Study 1, the analyses supported the internal reliability, and structural, convergent and discriminant validities of the 4-EI and 4-HEI. In Study 2, stronger 4-EI and 4-HEI were observed in participants who self-defined as Successful compared to Regain (4-EI: -0.18±1.68 [Mean ± SD]; 4-HEI: 0.57±1.48) and Unsuccessful (4-EI: -0.28±1.62; 4-HEI: 0.51±1.33), and among those who have maintained ≥ 5% weight loss for ≥ 1 year (4-EI: 0.47±0.78; 4-HEI: 1.13±1.49) compared to those who have not (4-EI: -0.27±1.66; 4-HEI: 0.53±1.47), p’s &lt; 0.001. In Study 3, 4-EI and 4-HEI had the strongest association of the socioecological factors examined with weight change during the COVID-19 pandemic and the associations were mediated through healthy eating and exercise behaviors.

Significance: The findings suggest that behavior-based identities are differentiating factors in those successfully maintaining weight loss and promote resilience for sustaining healthy behaviors under challenging circumstances. Future intervention studies should implement strategies to improve behavior-based identities during behavior change.
","1. The findings support the importance of behavior-based identity in long-term WL maintenance.

2. The findings support that stronger behavior-based identity help individuals to maintain better adherence to health-promoting behaviors and body weight goals during challenging situation.
 

",
60,Katie,Ellison,Lifestyle Wellness: A Novel and Comprehensive Wellness Assessment for Lifestyle-based Interventions,"While weight status and clinical laboratory measures are important in assessing obesity-related disease severity and chronic disease risk, including a broader range of emotional, psychosocial, and behavioral factors would provide greater context of an individual’s overall state of wellness and could be used to better guide treatment decisions. The purpose of this research was to develop a comprehensive Lifestyle Wellness assessment for use in lifestyle-based wellness interventions and programs. 
An exploratory factor analysis (EFA) was conducted using baseline data from N=138 adults who were participating in behavioral weight loss trials. An unweighted least squares extraction method with oblique rotation was used. Twenty-four putative measures spanning constructs related to metabolic health, emotional health/wellbeing, body weight and composition, diet quality, and fitness were analyzed for retention in the Lifestyle Wellness assessment. 

Mean BMI was 38.0 ± 6.6 kg/m2, mean age was 57.3 years, and 77.5% of participants were female. The EFA produced a five-factor model with 13 items that explained 80.3% of the variance. The retained factors included: 1) Emotional Health: mindfulness, resilience, quality of life, and happiness; 2) Metabolic Health – Blood Pressure: systolic and diastolic blood pressure, 3) Metabolic Health – Lipids:  total cholesterol and LDL-cholesterol, 4) Body State: BMI and waist circumference, and 5) Fitness State: grip strength, jump height, and percent body fat. 
These findings show that anthropometric assessments of “body state” are distinguishable from metabolic health and body fat clustered with fitness-related measures in adults with obesity. Thus, Lifestyle Wellness is a more comprehensive assessment that enables innovative wellness-related research such as metabolically health obesity and weight-neutral interventions, and should be investigated in additional populations with greater age, sex/gender, and body size diversity. ","1. This is a novel and comprehensive wellness assessment for lifestyle-based interventions.

2. The Lifestyle Wellness Assessment was tested in people with obesity and can be used as a tool for obesity treatment.",
61,Ayse,Zengul,Nutrition Recommendations for Adults with Spinal Cord Injury: A Delphi Study,"Introduction
This Delphi study aimed to establish a consensus-based framework for addressing the nutritional needs of adults with chronic spinal cord injury (SCI) who can ingest food orally and live in non-clinical settings. The Delphi panel consisted of experts knowledgeable in SCI and nutrition, including physicians, registered dietitians (RDs), and researchers.
Methods
A computer-mediated real-time Delphi design was employed to ascertain the consensus and agreement of the experts. Informed by a literature review, 18 nutrition recommendations tailored for adults with SCI were proposed to be rated by the 15 panelists. The survey included statements about SCI-specific dietary energy assessments and macro and micronutrients. Ratings and consensus details were outlined for each recommendation. The Kruskal-Wallis test was also employed to assess rating differences among the panel's professional groups. 
Results
The response rate for the Delphi panel (N=15) was 100  %. Consensus levels, scores, stability levels, and response numbers were documented for each recommendation. Alternative expert comments and suggestions were also provided for each recommendation to enhance understanding. The Kruskal-Wallis test indicated significant differences in the ratings among the professional groups for only two recommendations, suggesting an overall agreement in  the majority of the nutrition recommendations.
Significance
Engaging a diverse panel of experts, including physicians, RDs, and researchers, the real-time Delphi process yielded consensus-based nutrition recommendations rooted in a literature review and expert opinions. The presented results contribute to the ongoing dialogue in SCI-specific nutrition, providing a practical and expert-rated resource for healthcare professionals dealing with adults with chronic SCI.
","The presented results contribute to the ongoing dialogue in SCI-specific nutrition, providing a practical and expert-rated resource for healthcare professionals dealing with adults with chronic SCI.
",
62,Harleen,Kaur,"Moderators of a Web-based Lifestyle Intervention on Diet, Physical Activity, and Weight in Cancer Survivors and their Partners: The DUET Trial  ","Purpose: To identify who benefits most from web-based lifestyle interventions, this study examined potential moderators of the DUET web-based lifestyle intervention on diet quality, moderate-to-vigorous physical activity (MVPA), and weight.
Methods: Baseline and 6-month data from 112 cancer survivors and their partners enrolled in the DUET intervention were used. Web-based surveys captured data on potential moderators and were explored using Mplus software. Diet quality and caloric intake were measured through 2-day dietary recalls, MVPA via GLTEQ and accelerometry, and weight on a digital scale.
Results: The sample was 76.8% female, 62.5% non-Hispanic White and had a mean age of 58 years. The DUET intervention showed similar effects across genders and varying levels of comorbidity and eHEALTH literacy, with limited moderating factors identified. However, analyses indicated that race/ethnicity moderated the intervention's impact on caloric intake, with non-Hispanic Whites experiencing greater reductions in calories compared to non-Hispanic Blacks and others (interaction effect (b3) = -29.97, 95% CI [-58.296, -4.304]). Education moderated the effect of the intervention on weight, with college educated participants achieving greater weight loss compared to less educated individuals (b3 = -1.60, 95% CI [-3.036, -0.450]). Lastly, depression moderated the intervention's effect on self-reported MVPA, indicating that individuals with higher depressive symptoms showed less improvement in self-reported MVPA compared to those with lower depressive symptoms (b3 = -0.20, 95% CI [-0.332, -0.029]).
Significance: These findings call for continued research to better engage those with lower levels of education and minoritized populations, while also recognizing that depression may require ancillary treatment.","These findings are impactful as it highlights disparities in the effectiveness of a web-based weight loss intervention delivered among cancer survivors and their partners. The greater impact observed among non-Hispanic White individuals, those with a college education, and those with lower levels of depression suggests that intervention outcomes may not be equally beneficial across diverse demographic and mental health profiles. Understanding these disparities is crucial for tailoring future web-based lifestyle interventions for cancer survivors to address specific needs and ensuring more equitable health behavior outcomes for all populations.",
63,Megan,Word,Timing of energy intake as a possible intervention target among postpartum people,"Introduction: Following pregnancy, most people fail to return to their pre-pregnancy weight, which contributes to increased risk for obesity and cardiovascular disease. Due to infant-related sleep disruptions, late-night eating may be more common postpartum, which has been speculated to contribute to postpartum weight retention. While meal timing may be a relevant intervention target postpartum, no studies have characterized the timing of intake or willingness to engage in time-based eating approaches postpartum. We present preliminary findings to begin addressing this gap.

Methods: Preliminary data from an ongoing study recruiting people who are 5-24 weeks postpartum from UAB hospital were used. Participants completed demographic and meal timing suveys. Participants also ranked their preferences for various timing-based eating approaches shown to have health benefits.

Results/Discussion: Participants (n=17) were 31.53 ± 5.32 years old and majority non-Hispanic White. The average time of first and last caloric intake on a workday was 06:47 and 20:55, respectively. On free days, first and last caloric intake were 07:47 and 19:46, respectively. Majority preferred a bedtime stopping rule approach and were willing to stop eating 2.2 ± 1.1 hours before bedtime.

Significance: Postpartum people may be eating over a longer daily period compared to the average American eating window of 12 hours. These preliminary data suggest postpartum people may be willing to follow a timing-based dietary intervention, preferring a bedtime stopping rule. Using the complete sample (N=55), results will be validated using 24-hour diet recalls and we will examine associations of meal timing with weight and body composition.","-Meal timing-based approaches show promise for weight management and improving cardiometabolic health in non-postpartum samples but have not been considered as a potential intervention approach postpartum.

-This study will provide necessary formative data to inform the development of a novel meal timing-based intervention adapted for postpartum people that has the potential to improve a birthing persons long-term health trajectory.
",
