FN_ID,FN_TEXT
FN0157,"Drug overdose deaths include those resulting from accidental or intentional overdose of a drug, being given the wrong drug, taking the wrong drug in error, taking a drug inadvertently, or other misuses of drugs. These deaths are from all manners and intents, including unintentional, suicide, homicide, legal intervention, operations of war, and undetermined intent. Drug overdose deaths are identified using International Classification of Diseases, 10th Revision underlying cause-of-death codes X40-X44, X60-X64, X85, and Y10-Y14. Among deaths with drug overdose as the underlying cause, the following multiple cause-of-death codes indicate the drug type(s) involved: T40.0-T40.4 and T40.6 (any opioid), T40.1 (heroin), T40.2 (natural and semisynthetic opioids), T40.3 (methadone), and T40.4 (synthetic opioids other than methadone). Deaths involving more than one opioid category (such as a death involving both methadone and a natural and semisynthetic opioid) are counted in both categories. Natural and semisynthetic opioids include drugs such as morphine, oxycodone, and hydrocodone. Synthetic opioids other than methadone include such drugs as fentanyl, fentanyl analogs, and tramadol. See Sources and Definitions, Cause of death; International Classification of Diseases (ICD), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0160,"Starting with 1999 data, cause of death is coded according to the 10th revision of the International Classification of Diseases. See Sources and Definitions, Cause of death; Comparability ratio; International Classification of Diseases (ICD), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0164,"Underlying cause of death was coded according to the sixth revision of the International Classification of Diseases (ICD-6) in 1950, seventh revision in 1960, eighth revision in 1970, and ninth revision in 1980-1998. See Sources and Definitions, Cause of death; International Classification of Diseases (ICD), available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0171,"Binge drinking is defined as five or more alcoholic drinks in a row at least once in the previous 2-week period. See Sources and Definitions, Binge alcohol use, available from: https://www.cdc.gov/nchs/hus/sources-definitions/binge-alcohol-use.htm."
FN0173,"In 1993, the alcohol question was changed to indicate that a drink meant more than a few sips. Data for 1993 are based on a half sample. In 2022, a survey change that removed a skip pattern resulted in higher levels of inconsistent responses for alcohol use among 8th and 10th grade students (that is, students were more likely to report lifetime alcohol use early in the survey but then later report that they had never used alcohol). These inconsistent responders were coded as missing in 2022. The skip pattern will be reintroduced into the survey in 2023. See Sources and Definitions, Alcohol consumption, available from: https://www.cdc.gov/nchs/hus/sources-definitions/alcohol-consumption.htm."
FN0183,"Total includes all other races not shown separately and those with unknown sex, unknown marital status, unknown disability (functional limitation) status, and, in 1984 and 1989, unknown poverty level."
FN0187,"Total includes people of all other races not shown separately and those with unknown health insurance status, unknown education level, and unknown sex, and unknown disability (functional limitation) status."
FN0191,"Rates for 1950 and 1960 include deaths of people who were not residents of the 50 states or the District of Columbia. In 1950, deaths of people in Alaska and Hawaii are excluded because these states did not receive statehood until 1959."
FN0197,American Indian and Alaska Native and Asian or Pacific Islander groups include people of Hispanic origin.
FN0201,"Total includes people of all races and Hispanic origins, not just those shown separately."
FN0203,All mechanisms includes unintentional injury-related visits with mechanisms of injury not shown.
FN0208,"MSA is metropolitan statistical area. Starting with 2016 data, MSA status is determined using 2010 census data and the 2010 standards for defining MSAs. For more information, including the definition applied before 2016, see Sources and Definitions, Metropolitan statistical area (MSA), available from: https://www.cdc.gov/nchs/hus/sources-definitions/msa.htm."
FN0209,"Rates for the United States exclude data for American Samoa, Guam, Northern Marianas, Puerto Rico, and Virgin Islands."
FN0212,"Excludes live births with unknown birthweight. See Appendix II, Birthweight, available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
FN0213,Estimates for states are shown by Hispanic origin only if Hispanic-origin data are available for all years in the 3-year period.
FN0218,"Rates for 1999-2004 exclude data from Oklahoma, which did not report Hispanic origin on the fetal death report in those years."
FN0219,"Rates for White and Black are substituted for White non-Hispanic and Black non-Hispanic for Louisiana for 1989, Oklahoma for 1989-1990, and New Hampshire for 1989-1991."
FN0222,Younger than 1 year of age.
FN0227,"In 1950, the rate for Black males aged 75-84 years includes ages 75 and older."
FN0230,"Infant deaths are younger than 1 year; neonatal deaths are younger than 28 days; and postneonatal deaths are 28 days to 364 days. See Sources and Definitions, Infant death; Rate: Death and related rates, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0239,"Fetal death rates are the number of fetal deaths at 20 weeks of gestation or more per 1,000 live births and fetal deaths. See Sources and Definitions, Fetal death; Rate: Death and related rates, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0240,"Late fetal death rates are the number of fetal deaths at 28 weeks of gestation or more (late fetal deaths) per 1,000 live births and late fetal deaths. See Sources and Definitions, Fetal death; Rate: Death and related rates, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0241,"Perinatal death rates are the number of late fetal deaths and infant deaths within 7 days of birth per 1,000 live births and late fetal deaths. See Sources and Definitions, Fetal death; Rate: Death and related rates, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0247,"Rates for 2003 and beyond are based on the period file using weighted data. See Appendix I, National Vital Statistics System (NVSS), Linked Birth/Infant Death Data Set, available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
FN0249,Rates for 1989-1991 are based on unweighted birth cohort data.
FN0255,"Drug overdose deaths involving natural and semisynthetic opioids includes deaths with an underlying cause of drug overdose and a natural or semisynthetic opioid (such as codeine, oxycodone, and morphine) mentioned in the ICD-10 multiple cause of death. The Natural or semisynthetic opioid category is defined by multiple cause-of-death code T40.2."
FN0256,"In 2014, a sharp increase in deaths involving synthetic opioids other than methadone coincided with law enforcement reports of increased availability of illicitly manufactured or nonpharmaceutical fentanyl. Illicitly manufactured fentanyl cannot be distinguished from pharmaceutical fentanyl in death certificate data. For more information, see Centers for Disease Control and Prevention. Health advisory: Increases in fentanyl drug confiscations and fentanyl-related overdose fatalities. CDC Health Alert Network. 2015 Oct; CDCHAN-00384. Available from: https://stacks.cdc.gov/view/cdc/35133; and Rudd RA, Aleshire N, Zibbell JE, Gladden M. Increases in drug and opioid overdose deaths – United States, 2000-2014. MMWR Morb Mortal Wkly Rep. 2016 Jan;64(50):1378-82. Available from: https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6450a3.htm?s_cid=mm6450a3_w."
FN0257,"Metabolic breakdown of heroin into morphine in the body can make it difficult to distinguish between deaths from heroin and those from morphine based on information on the death certificate. Some deaths reported to involve morphine could be deaths from heroin, which may result in an undercount of heroin-related deaths. For more information, see: Hedegaard H, Chen LH, Warner M. Drug-poisoning deaths involving heroin: United States, 2000-2013. NCHS Data Brief. 2015 Mar;190. Available from: https://www.cdc.gov/nchs/products/databriefs/db190.htm"
FN0261,"Beginning in quarter 3 of the 2004 NHIS, people younger than 65 years with no reported coverage are asked explicitly about Medicaid coverage. Estimates are calculated with the additional information starting with 2005 data."
FN0262,"Estimates of percent of poverty level are calculated by dividing family income by the U.S. Department of Health and Human Services’ poverty guideline specific to family size, as well as the appropriate year and state. People with unknown percent of poverty level are excluded (11% in 2017–March 2020) from the hypertension estimates in this data set. See Sources and Definitions, Family income; Poverty, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0265,Estimates for 2000-2002 are calculated using 2000-based sample weights and may differ from estimates that use 1990-based sample weights for 2000-2002 estimates.
FN0266,"FPL is federal poverty level. Poverty level is based on the ratio of the family's income in the previous calendar year to the appropriate poverty threshold defined by the U.S. Census Bureau. Poverty level was unknown for 10%-11% of people younger than 65 years in 1984 and 1989. Missing family income data are imputed for 1990 and beyond. See Sources and Definitions, Family income; Poverty, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0267,"Classification of intent and mechanism of injury is based on the first-listed diagnosis code and the external cause-of-injury matrix. Intentional injuries include self-inflicted injuries and assaults. See Sources and Definitions, External cause of injury; Injury; Injury-related visit, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0268,"Estimates for total, sex, and sex and age groups include all injury-related visits not shown separately in table, including those with undetermined intent and insufficient information to code cause of injury."
FN0269,"Persons of Hispanic origin may be of any race. See Appendix II, Hispanic origin, available from: https://www.cdc.gov/nchs/data/hus/hus17_appendix.pdf."
FN0270,"Employment is the number of filled positions. This data set includes both full- and part-time wage and salary positions. Estimates do not include the self-employed, owners and partners in unincorporated firms, household workers, or unpaid family workers. Estimates are rounded to the nearest 10."
FN0271,"Mean hourly wage rate for an occupation is the total wages that all workers in the occupation earn in an hour divided by the total employment in the occupation. For more information, see: U.S. Bureau of Labor Statistics. Technical notes for May 2024 OEWS estimates. 2025. Available from: https://www.bls.gov/oes/2024/may/oes_tec.htm."
FN0272,"Starting with 2012 data, the Radiologic technologists and technicians occupation category was split into two occupations as part of the 2010 Standard Occupational Classification (SOC) revision: Radiologic technologists (29-2034) and Magnetic resonance imaging technologists (29-2035). As a result, data before 2012 are not comparable with data from 2012 and beyond. In the 2018 SOC revision, the occupational title was changed back to Radiologic technologists and technicians."
FN0273,"Starting with 2012 data, the Registered nurses occupation category was split into four occupations as part of the 2010 Standard Occupational Classification revision: Registered nurses (29-1141), Nurse anesthetists (29-1151), Nurse midwives (29-1161), and Nurse practitioners (29-1171). As a result, data before 2012 are not comparable with data from 2012 and beyond."
FN0274,"Starting with 2012 data, the Nursing aides, orderlies, and attendants occupation category (31-1012) was split into two occupations as part of the 2010 Standard Occupational Classification revision: Nursing assistants (31-1131) and Orderlies (31-1132). As a result, data before 2012 are not comparable with data from 2012 and beyond."
FN0304,Investment consists of research and structures and equipment.
FN0319,Home health care includes expenses for care in freestanding facilities only. Additional services of this type are provided in hospital-based facilities and are considered hospital care.
FN0336,"Average length of stay is the number of inpatient days divided by the number of admissions. See Sources and Definitions, Average length of stay, available from: https://www.cdc.gov/nchs/hus/sources-definitions/average-length-of-stay.htm."
FN0338,"Total surgeries is a measure of patients with at least one surgical procedure. People with multiple surgical procedures during the same outpatient visit or inpatient stay are counted only once. See Sources and Definitions, Outpatient surgery, available from: https://www.cdc.gov/nchs/hus/sources-definitions/outpatient-surgery.htm."
FN0362,"All personal health care includes all expenses other than spending for government administration, net cost of health insurance, public health activities, research, and structures and equipment."
FN0364,Other health insurance programs include the Department of Defense and the Department of Veterans Affairs.
FN0366,Hospital care includes expenses for hospital-based nursing homes and home health agency care.
FN0368,Nursing care facilities and continuing care retirement communities include expenses for care in freestanding nursing homes. Expenses for care in hospital-based nursing homes are included with hospital care.
FN0369,"Other health care includes expenses for other professional services, other nondurable medical products, durable medical equipment, and other health, residential, and personal care, not shown separately. See Sources and Definitions, Health expenditures, national, available from: https://www.cdc.gov/nchs/hus/sources-definitions/health-expenditures.htm."
FN0412,"Government administration includes all administrative costs (federal and state and local employees' salaries; contracted employees, including fiscal intermediaries; rent and building costs; computer systems and programs; other materials and supplies; and other miscellaneous expenses) associated with insuring individuals enrolled in the following health insurance programs: Medicare, Medicaid, Children's Health Insurance Program, Department of Defense, Department of Veterans Affairs, Indian Health Service, workers' compensation, maternal and child health, vocational rehabilitation, Substance Abuse and Mental Health Services Administration, and other federal programs."
FN0413,"Net cost of health insurance is the difference between premiums earned and benefits incurred. This is the amount of health insurance spending attributed to nonmedical benefit expenses such as administrative costs, additions to reserves, rate credits and dividends, premium taxes, and plan profits or losses. This category includes the net cost for private health insurance companies that insure enrollees in private health insurance plans, Medicare, Medicaid, Children's Health Insurance Program, property and casualty insurance (health portion only), and workers' compensation (health portion only)."
FN0414,Government public health activities include health care services delivered by government public health agencies.
FN0415,"Research excludes research and development expenses of drug companies and other manufacturers and providers of medical equipment and supplies. These categories are included in the expense class in which the product falls, because such expenses are covered by the payment received for that product."
FN0443,"The race groups White, Black, American Indian or Alaska Native, Asian, Native Hawaiian or Other Pacific Islander, and 2 or more races include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 1999 data, race-specific estimates are tabulated according to the 1997 ""Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity"" and are not strictly comparable with estimates for earlier years. The five single- and multiple-race categories shown follow the 1997 standards. The race-specific estimates are for people who reported only one racial group; the category 2 or more races includes people who reported more than one racial group. Starting with 2003 data, race responses of other race and unspecified multiple race are treated as missing, and then race is imputed if these were the only race responses. Almost all people with a race response of other race are of Hispanic origin. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0455,Drug overdose deaths involving methadone includes deaths with an underlying cause of drug overdose and methadone mentioned in ICD-10 multiple causes of death. The Methadone category is defined by multiple cause-of-death code T40.3.
FN0461,"Rates for race groups other than White and Black people should be interpreted with caution because of inconsistencies in reporting Hispanic origin or race on the death certificate (death rate numerators) compared with population figures (death rate denominators). The net effect of misclassification for these race groups is an underestimation of deaths and death rates. For a detailed discussion of sources of bias in death rates by race and Hispanic origin, see Sources and Definitions, Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions/race.htm."
FN0465,"Race and Hispanic origin refer to mother's race and Hispanic origin. The race groups White, Black, American Indian and Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 2017 linked birth/infant death data, race on birth records is available based on the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity” and presented as single-race estimates (only one race was reported on the birth certificate). These estimates include separate estimates for Asian non-Hispanic and Native Hawaiian or Other Pacific Islander non-Hispanic categories. States transitioned from 1977 to 1997 Office of Management and Budget standards during 2003-2016. For this period, race data were bridged to retain comparability with the 1977 Office of Management and Budget standards, which included a combined Asian or Pacific Islander non-Hispanic category. Both single- and bridged-race estimates are presented for 2017-2019. Single-race estimates for 2017 and beyond are not completely comparable with bridged-race estimates for earlier years, particularly for the smaller race categories. Starting with 2020 data, bridged-race estimates are no longer available. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0466,"See Sources and Definitions, Bed, health facility, available from: https://www.cdc.gov/nchs/hus/sources-definitions/bed-health-facility.htm."
FN0467,"See Sources and Definitions, Average annual rate of change (percent change), available from: https://www.cdc.gov/nchs/hus/sources-definitions/average-annual-rate-of-change.htm."
FN0468,"Race and Hispanic origin refer to mother's race and Hispanic origin. The race groups White, Black, American Indian and Alaska Native, Asian, and Native Hawaiian or Other Pacific Islander include people of Hispanic and non-Hispanic origin. People of Hispanic origin may be of any race. Starting with 2018 fetal death data, race on fetal death records is available based on the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity” and presented as single-race estimates (only one race was reported on the report of fetal death). These estimates include separate estimates for Asian non-Hispanic and Native Hawaiian or Other Pacific Islander non-Hispanic categories. States transitioned from 1977 to 1997 Office of Management and Budget standards during 2003-2017. For this period, race data were bridged to retain comparability with the 1977 Office of Management and Budget standards, which included a combined Asian or Pacific Islander non-Hispanic category. Both single- and bridged-race estimates are presented for 2018 and 2019. Single-race estimates for 2018 and beyond are not completely comparable with bridged-race estimates for earlier years, particularly for the smaller race categories. Starting with 2020 data, bridged-race estimates are no longer available. See Sources and Definitions, Hispanic origin; Race, available from: https://www.cdc.gov/nchs/hus/sources-definitions.htm."
FN0471,"FPL is federal poverty level. Estimates of poverty level are calculated by dividing family income by the U.S. Department of Health and Human Services' poverty guideline specific to family size, as well as the appropriate year and state. People with unknown poverty level are excluded (9% in 2015-2018) from the childhood obesity estimates in this file. See Appendix II, Family income; Poverty, available from: https://www.cdc.gov/nchs/data/hus/hus19-appendix-508.pdf."
FN0474,"Other third-party payers and programs include worksite health care, other private revenues, Indian Health Service, workers' compensation, general assistance, maternal and child health, vocational rehabilitation, other federal programs, Substance Abuse and Mental Health Services Administration, other state and local programs, and school health."
FN0506,Data for physician visits are not available in 2017.
FN0514,"Rates for 1983, 1985, 1990, 1996, and 1997 are based on unweighted birth cohort data."
FN0515,"Rates for 1995 and 1998 and beyond are based on the period file using weighted data. See Sources and Definitions, National Vital Statistics System (NVSS), Linked Birth/Infant Death Data Set, available from: https://www.cdc.gov/nchs/hus/sources-definitions/nvss.htm."
FN0517,Estimates for total include all other races not shown separately and those with unknown sex.
FN0591,"In the geographic classification of the U.S. population, states are grouped into four regions used by the U.S. Census Bureau. Northeast: Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, and Pennsylvania. Midwest: Ohio, Indiana, Illinois, Michigan, Wisconsin, Minnesota, Iowa, Missouri, North Dakota, South Dakota, Nebraska, and Kansas. South: Delaware, Maryland, District of Columbia, Virginia, West Virginia, North Carolina, South Carolina, Georgia, Florida, Kentucky, Tennessee, Alabama, Mississippi, Arkansas, Louisiana, Oklahoma, and Texas. West: Montana, Idaho, Wyoming, Colorado, New Mexico, Arizona, Utah, Nevada, Washington, Oregon, California, Alaska, and Hawaii. See Sources and Definitions, Geographic division or region, available from: https://www.cdc.gov/nchs/hus/sources-definitions/geographic-region.htm."
