Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,(DEPRECATED) Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization (MFU),Confidence,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
ProteinStructureTransformer,Biology,Protein or nucleotide language model (pLM/nLM),Max Planck Institute of Biochemistry,"Dexiong Chen, Philip Hartout, Paolo Pellizzoni, Carlos Oliver, Karsten Borgwardt",2024-01-26,ENDOWING PROTEIN LANGUAGE MODELS WITH STRUCTURAL KNOWLEDGE,https://arxiv.org/abs/2401.14819,19.0,,,1137000000.0,,7.616995200001001e+21,"GPU hour estimate
4*36000s*9.9e+14*0.4=5.7e+19

Base model: 7.560000000001e+21
Combined: 7616995200001001000000",,,160000001.00000018,"542,378 proteins × 300 residues/protein = 162,713,400 tokens (1.627e8)

Final estimate: 1.6e8 datapoints",100.0,10.0,,NVIDIA H100 SXM5 80GB,4.0,,,"Understanding the relationships between protein sequence, structure and function is a long-standing biological challenge with manifold implications from drug design to our understanding of evolution. Recently, protein language models have emerged as the preferred method for this challenge, thanks to their ability to harness large sequence databases. Yet, their reliance on expansive sequence data and parameter sets limits their flexibility and practicality in real-world scenarios. Concurrently, the recent surge in computationally predicted protein structures unlocks new opportunities in protein representation learning. While promising, the computational burden carried by such complex data still hinders widely-adopted practical applications. To address these limitations, we introduce a novel framework that enhances protein language models by integrating protein structural data. Drawing from recent advances in graph transformers, our approach refines the self-attention mechanisms of pretrained language transformers by integrating structural information with structure extractor modules. This refined model, termed Protein Structure Transformer (PST), is further pretrained on a small protein structure database, using the same masked language modeling objective as traditional protein language models. Empirical evaluations of PST demonstrate its superior parameter efficiency relative to protein language models, despite being pretrained on a dataset comprising only 542K structures. Notably, PST consistently outperforms the state-of-the-art foundation model for protein sequences, ESM-2, setting a new benchmark in protein function prediction. Our findings underscore the potential of integrating structural information into protein language models, paving the way for more effective and efficient protein modeling Code and pretrained models are available at this https URL.",,,Confident,Germany,ESM2-650M,5.69952e+19,,,,Academia,,,,,5545.139273980643,Hardware
ProtChatGPT,Biology,Protein question answering,"University of Technology Sydney,Zhejiang University (ZJU)","Chao Wang, Hehe Fan, Ruijie Quan, Yi Yang",2024-02-15,ProtChatGPT: Towards Understanding Proteins with Large Language Models,https://arxiv.org/abs/2402.09649,20.0,,,8000000000.0,,7.200353201209069e+23,"GPU hours: 86400s*9.9e+14*2*0.4=6.8e+19

6ND: 6*8000000000*380000001=18240000048000000000

GMean(1.8e+19,6.8e+19)=3.5e+19

Base model: 7.2e+23

Total: 720035320120906900000000",,,380000000.9999994,"Stage 1:
- Proteins: 549,000 × 500 = 2.745 × 10⁸
- Descriptions: 549,000 × 50 = 2.745 × 10⁷
- Total: 2.745 × 10⁸ + 2.745 × 10⁷ = 3.0195 × 10⁸

Stage 2:
- Proteins: 143,508 × 500 = 7.1754 × 10⁷
- Descriptions: 143,508 × 50 = 7.1754 × 10⁶
- Total: 7.1754 × 10⁷ + 7.1754 × 10⁶ = 7.892 × 10⁷

Final Total: 3.0195 × 10⁸ + 7.892 × 10⁷ = 3.8087 × 10⁸",,24.0,,NVIDIA H100 SXM5 80GB,2.0,,,"Protein research is crucial in various fundamental disciplines, but understanding their intricate structure-function relationships remains challenging. Recent Large Language Models (LLMs) have made significant strides in comprehending task-specific knowledge, suggesting the potential for ChatGPT-like systems specialized in protein to facilitate basic research. In this work, we introduce ProtChatGPT, which aims at learning and understanding protein structures via natural languages. ProtChatGPT enables users to upload proteins, ask questions, and engage in interactive conversations to produce comprehensive answers. The system comprises protein encoders, a Protein-Language Pertaining Transformer (PLP-former), a projection adapter, and an LLM. The protein first undergoes protein encoders and PLP-former to produce protein embeddings, which are then projected by the adapter to conform with the LLM. The LLM finally combines user questions with projected embeddings to generate informative answers. Experiments show that ProtChatGPT can produce promising responses to proteins and their corresponding questions. We hope that ProtChatGPT could form the basis for further exploration and application in protein research. Code and our pre-trained model will be publicly available.",Unreleased,,Confident,"Australia,China",Llama 3-8B,3.5e+19,,,,"Academia,Academia",Unreleased,"""Code and our pre-trained model will be publicly available""
as of May'25 I cannot find it",True,,2771.3350442941023,Hardware
ProtT3,Biology,Protein question answering,"National University of Singapore,University of Science and Technology of China (USTC),Hokkaido University","Zhiyuan Liu, An Zhang, Hao Fei, Enzhi Zhang, Xiang Wang, Kenji Kawaguchi, Tat-Seng Chua",2024-05-21,ProtT3: Protein-to-Text Generation for Text-based Protein Understanding,https://arxiv.org/abs/2405.12564,29.0,,,1600000000.0,Table 12,,,"SwissProt,ProteinKG25",,1362012358.0,"430,595 + 422,315 + 3,360,000 = 4,212,910 datapoints
4,212,910 × 300 = 1,263,873,000 tokens
Final estimate: 1.3 billion tokens
Exact numbers from Table 2
430595*(336+48)+422315*(338+101)+3359693*(291+10)=1362012358",60.0,,,"NVIDIA A100,NVIDIA V100",6.0,,,"Language Models (LMs) excel in understanding textual descriptions of proteins, as evident in biomedical question-answering tasks. However, their capability falters with raw protein data, such as amino acid sequences, due to a deficit in pretraining on such data. Conversely, Protein Language Models (PLMs) can understand and convert protein data into high-quality representations, but struggle to process texts. To address their limitations, we introduce ProtT3, a framework for Protein-to-Text Generation for Text-based Protein Understanding. ProtT3 empowers an LM to understand protein sequences of amino acids by incorporating a PLM as its protein understanding module, enabling effective protein-to-text generation. This collaboration between PLM and LM is facilitated by a cross-modal projector (i.e., Q-Former) that bridges the modality gap between the PLM's representation space and the LM's input space. Unlike previous studies focusing on protein property prediction and protein-text retrieval, we delve into the largely unexplored field of protein-to-text generation. To facilitate comprehensive benchmarks and promote future research, we establish quantitative evaluations for protein-text modeling tasks, including protein captioning, protein question-answering, and protein-text retrieval. Our experiments show that ProtT3 substantially surpasses current baselines, with ablation studies further highlighting the efficacy of its core components. Our code is available at this https URL.",,,Likely,"Singapore,China,Japan",,,,,,"Academia,Academia,Academia",,,,,,
ProLLaMA,Biology,Protein question answering,"Peking University,Peng Cheng Laboratory","Liuzhenghao Lv, Zongying Lin, Hao Li, Yuyang Liu, Jiaxi Cui, Calvin Yu-Chian Chen, Li Yuan, Yonghong Tian",2024-02-26,ProLLaMA: A Protein Language Model for Multi-Task Protein Language Processing,https://arxiv.org/abs/2402.16445,68.0,,,7000000000.0,,8.412e+22,"1. Hardware setup: 8x NVIDIA RTX A6000 GPUs (3.87e13 FLOP/s per GPU)

2. Training duration: Provided directly - Stage 1: 6 days, Stage 2: 5 days (Total: 11 days = 950,400 seconds)

3. Utilization rate: 40%

4. Calculation:
(8 GPUs × 3.87e13 FLOP/s/GPU) × 950,400 seconds × 0.4 utilization = 1.2e20 FLOPs
(Stage 1: 1.603e20 + Stage 2: 1.338e20) × 0.4 = 1.2e20 FLOPs

Base model: 8.4e+22
total : 84120000000000000000000",UniRef50,,16000000000.999985,"52,807,283 sequences × 300 residues/sequence = 15,842,184,900 tokens ≈ 1.6 × 10^10 tokens",,264.0,,NVIDIA RTX A6000,8.0,,,"Large Language Models (LLMs) have achieved remarkable performance in multiple Natural Language Processing (NLP) tasks. Under the premise that protein sequences constitute the protein language, Protein Language Models(PLMs) have advanced the field of protein engineering. However, as of now, unlike LLMs in NLP, PLMs cannot handle the protein understanding task and the protein generation task simultaneously in the Protein Language Processing (PLP) field. This prompts us to delineate the inherent limitations in current PLMs: (i) the lack of natural language capabilities, (ii) insufficient instruction understanding, and (iii) high training resource demands. To address these challenges, we introduce a training framework to transform any general LLM into a PLM capable of handling multiple PLP tasks. To improve training efficiency, we propose Protein Vocabulary Pruning (PVP) for general LLMs. We construct a multi-task instruction dataset containing 13 million samples with superfamily information, facilitating better modeling of protein sequence-function landscapes. Through these methods, we develop the ProLLaMA model, the first known PLM to handle multiple PLP tasks simultaneously. Experiments show that ProLLaMA achieves state-of-the-art results in the unconditional protein sequence generation task. In the controllable protein sequence generation task, ProLLaMA can design novel proteins with desired functionalities. As for the protein understanding task, ProLLaMA achieves a 62\% exact match rate in superfamily prediction. Codes, model weights, and datasets are available at \url{this https URL} and \url{this https URL}.",,,Confident,"China,China",Llama 2-7B,,,,,"Academia,Academia",,,,,4749.696433127339,Hardware
Structure-Informed Protein Language Model,Biology,Protein or nucleotide language model (pLM/nLM),"Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,IBM Research,HEC Montreal,CIFAR AI Research","Zuobai Zhang, Jiarui Lu, Vijil Chenthamarakshan, Aurélie Lozano, Payel Das, Jian Tang",2024-02-07,Structure-Informed Protein Language Model,https://arxiv.org/abs/2402.05856,12.0,,,650000000.0,,,,,,3700000.0,"Fine-tuning:
12,312 proteins × 300 residues = 3.7 × 10^6 tokens",50.0,,,,,,,"Protein language models are a powerful tool for learning protein representations through pre-training on vast protein sequence datasets. However, traditional protein language models lack explicit structural supervision, despite its relevance to protein function. To address this issue, we introduce the integration of remote homology detection to distill structural information into protein language models without requiring explicit protein structures as input. We evaluate the impact of this structure-informed training on downstream protein function prediction tasks. Experimental results reveal consistent improvements in function annotation accuracy for EC number and GO term prediction. Performance on mutant datasets, however, varies based on the relationship between targeted properties and protein structures. This underscores the importance of considering this relationship when applying structure-aware training to protein function prediction tasks. Code and model weights are available at this https URL.",,,Likely,"Canada,Canada,United States of America,Canada,Canada",ESM2-650M,,,,,"Academia,Academia,Industry,Academia,Research collective",,,,,,
PoET,Biology,"Protein generation,Protein or nucleotide language model (pLM/nLM)",OpenProtein.ai,"Timothy F. Truong Jr, Tristan Bepler",2023-06-09,PoET: A generative model of protein families as sequences-of-sequences,https://arxiv.org/abs/2306.06156,68.0,,,57000000.0,,230000000000001970000,"1. Hardware setup: 7x NVIDIA A100 GPUs, 3.12e14 FLOP/s per GPU
2. Training duration: 3 days = 259,200 seconds (directly provided)
3. Utilization rate: 40% (default assumption)
4. Calculation: 3.12e14 FLOP/s × 7 GPUs × 259,200s × 0.4 = 2.3e20 FLOPs",,,87580000000.99959,"29,000,000 sets * 10 sequences/set = 290,000,000 sequences
Tokens per sequence = 300 amino acids + 2 tokens = 302 tokens
Total tokens = 290,000,000 sequences * 302 tokens/sequence = 87,580,000,000
Final result: 8.758 × 10¹⁰ datapoints",,72.0,,NVIDIA A100,7.0,,,"Generative protein language models are a natural way to design new proteins with desired functions. However, current models are either difficult to direct to produce a protein from a specific family of interest, or must be trained on a large multiple sequence alignment (MSA) from the specific family of interest, making them unable to benefit from transfer learning across families. To address this, we propose Protein Evolutionary Transformer (PoET), an autoregressive generative model of whole protein families that learns to generate sets of related proteins as sequences-of-sequences across tens of millions of natural protein sequence clusters. PoET can be used as a retrieval-augmented language model to generate and score arbitrary modifications conditioned on any protein family of interest, and can extrapolate from short context lengths to generalize well even for small families. This is enabled by a unique Transformer layer; we model tokens sequentially within sequences while attending between sequences order invariantly, allowing PoET to scale to context lengths beyond those used during training. In extensive experiments on deep mutational scanning datasets, we show that PoET outperforms existing protein language models and evolutionary sequence models for variant function prediction across proteins of all MSA depths. We also demonstrate PoET's ability to controllably generate new protein sequences.",,,Confident,Singapore,,,,,,Industry,,,,,5573.738213375315,Hardware
ESM-AA,Biology,"Protein folding prediction,Protein or nucleotide language model (pLM/nLM),Proteins","Peking University,Nanjing University,Tsinghua University,PharMolix","Kangjie Zheng, Siyu Long, Tianyu Lu, Junwei Yang, Xinyu Dai, Ming Zhang, Zaiqing Nie, Wei-Ying Ma, Hao Zhou",2024-04-05,ESM All-Atom: Multi-scale Protein Language Model for Unified Molecular Modeling,https://arxiv.org/abs/2403.12995,14.0,,,35000000.0,,728000000000000000000,"1. Hardware: 16x NVIDIA A100 GPUs (3.12e14 FLOP/s per GPU)
2. Training duration: 3 days directly reported = 259,200 seconds
3. Utilization: 40% assumed
4. Calculation: 3.12e14 FLOP/s × 16 GPUs × 259,200s × 0.40 = 5.18e20 FLOPs

Base model: 209999999999999970000
Total: 209999999999999970000+5.18e20=728000000000000000000",,,23300000000.0,"
Assuming 300 tokens per protein and 100 token per molecule
8M*300+209M*100=23300000000
",,72.0,,NVIDIA A100,16.0,,,"Protein language models have demonstrated significant potential in the field of protein engineering. However, current protein language models primarily operate at the residue scale, which limits their ability to provide information at the atom level. This limitation prevents us from fully exploiting the capabilities of protein language models for applications involving both proteins and small molecules. In this paper, we propose ESM-AA (ESM All-Atom), a novel approach that enables atom-scale and residue-scale unified molecular modeling. ESM-AA achieves this by pre-training on multi-scale code-switch protein sequences and utilizing a multi-scale position encoding to capture relationships among residues and atoms. Experimental results indicate that ESM-AA surpasses previous methods in protein-molecule tasks, demonstrating the full utilization of protein language models. Further investigations reveal that through unified molecular modeling, ESM-AA not only gains molecular knowledge but also retains its understanding of proteins. The source codes of ESM-AA are publicly released at this https URL.",,,Confident,"China,China,China,China",ESM2-35M,,,,,"Academia,Academia,Academia,Industry",,,,,12654.861564218108,Hardware
MULAN,Biology,Protein or nucleotide language model (pLM/nLM),"AIRI Artificial Intelligence Research Institute,Skolkovo Institute of Science and Technology,Belozersky Institute of Physio-Chemical Biology,Ligand Pro","Daria Frolova, Marina A. Pak, Anna Litvin, Ilya Sharov, Dmitry N. Ivankov, Ivan Oseledets",2024-06-02,MULAN: Multimodal Protein Language Model for Sequence and Structure Encoding,https://www.biorxiv.org/content/10.1101/2024.05.30.596565v1,7.0,,,35000000.0,,517774080000000000000,"Finetune: 989500000000000*9days*0.4=307774080000000000000

Base model: 209999999999999970000.00

Total: 209999999999999970000.00+307774080000000000000=517774080000000000000", AlphaFold database (AFDB),,5100000000.0,"""It contains 17M AlphaFold protein structures not shorter
than 30 residues.""

Assuming 300 tokens / amino acids per structure
17M*300=5100000000",15.0,,,NVIDIA H100 SXM5 80GB,1.0,,,"Most protein language models (PLMs), which are used to produce high-quality protein representations, use only protein sequences during training. However, the known protein structure is crucial in many protein property prediction tasks, so there is a growing interest in incorporating the knowledge about the protein structure into a PLM. In this study, we propose MULAN, a MULtimodal PLM for both sequence and ANgle-based structure encoding. MULAN has a pre-trained sequence encoder and an introduced Structure Adapter, which are then fused and trained together. According to the evaluation on 7 downstream tasks of various nature, both small and medium-sized MULAN models show consistent improvement in quality compared to both sequence-only ESM-2 and structure-aware SaProt. Importantly, our model offers a cheap increase in the structural awareness of the protein representations due to finetuning of existing PLMs instead of training from scratch. We perform a detailed analysis of the proposed model and demonstrate its awareness of the protein structure. The implementation, training data and model checkpoints are available at https://github.com/DFrolova/MULAN.",Open weights (unrestricted),,Confident,"Russia,Russia,Russia,Russia",ESM2-35M,,,,,"Research collective,Academia,Academia,Industry",Open source,"MIT license for code
https://github.com/DFrolova/MULAN

MIT license for weights
https://huggingface.co/DFrolova/MULAN-ESM2-35M",,,759.5268508808502,Hardware
PTM-Mamba,Biology,Protein or nucleotide language model (pLM/nLM),Duke University,"Zhangzhi Peng, Benjamin Schussheim, Pranam Chatterjee",2024-02-29,PTM-Mamba: A PTM-Aware Protein Language Model with Bidirectional Gated Mamba Blocks,https://www.biorxiv.org/content/10.1101/2024.02.28.581983v1,45.0,,,,,,"
",,,32000000.999999996,"79,707 sequences × 400 tokens/sequence = 31,882,800 tokens ≈ 3.2 × 10⁷ tokens",,,,NVIDIA A100,8.0,,,"Proteins serve as the workhorses of living organisms, orchestrating a wide array of vital functions. Post-translational modifications (PTMs) of their amino acids greatly influence the structural and functional diversity of different protein types and uphold proteostasis, allowing cells to swiftly respond to environmental changes and intricately regulate complex biological processes. To this point, efforts to model the complex features of proteins have involved the training of large and expressive protein language models (pLMs) such as ESM-2 and ProtT5, which accurately encode structural, functional, and physicochemical properties of input protein sequences. However, the over 200 million sequences that these pLMs were trained on merely scratch the surface of proteomic diversity, as they neither input nor account for the effects of PTMs. In this work, we fill this major gap in protein sequence modeling by introducing PTM tokens into the pLM training regime. We then leverage recent advancements in structured state space models (SSMs), specifically Mamba, which utilizes efficient hardware-aware primitives to overcome the quadratic time complexities of Transformers. After adding a comprehensive set of PTM tokens to the model vocabulary, we train bidirectional Mamba blocks whose outputs are fused with state-of-the-art ESM-2 embeddings via a novel gating mechanism. We demonstrate that our resultant PTM-aware pLM, PTM-Mamba, improves upon ESM-2’s performance on various PTM-specific tasks. PTM-Mamba is the first and only pLM that can uniquely input and represent both wild-type and PTM sequences, motivating downstream modeling and design applications specific to post-translationally modified proteins. To facilitate PTM-aware protein language modeling applications, we have made our model available at: https://huggingface.co/ChatterjeeLab/PTM-Mamba.",Open weights (non-commercial),,Likely,United States of America,ESM2-650M,,,,,Academia,Open source,"CC-BY-NC-ND-4.0 for weights
https://huggingface.co/ChatterjeeLab/PTM-Mamba

Apache 2.0 for inference and training code
https://github.com/programmablebio/ptm-mamba?tab=readme-ov-file",,,6332.505500622502,Hardware
JURA Bio Model,Biology,"Protein generation,Proteins,Protein or nucleotide language model (pLM/nLM)","JURA Bio,New York University (NYU),Harvard Medical School,Columbia University","Eli N. Weinstein, Mattia G. Gollub, Andrei Slabodkin, Cameron L. Gardner, Kerry Dobbs, Xiao-Bing Cui, Alan N. Amin, George M. Church",2024-09-13,Manufacturing-Aware Generative Model Architectures Enable Biological Sequence Design and Synthesis at Petascale,https://static1.squarespace.com/static/66db3a552002432ff6a39dae/t/66e45d8b7ed2bf1a517e03c1/1726242191877/JURA_VariationalSynthesis.pdf,,,,,,,,,,4400000001.000004,"293,000,000 sequences * 15 tokens/sequence = 4,395,000,000 tokens (~4.4 billion tokens)

Derived from: Observed Antibody Space database with 325,596,608 sequences, 90% training split (293M), avg sequence length 15 amino acids.",,,,,,,,"We introduce a method to reduce the cost of synthesizing proteins and other biological sequences designed by a generative model by as much as a trillion-fold. In particular, we make our
generative models manufacturing-aware, such that model-designed sequences can be efficiently
synthesized in the real world with extreme parallelism. We demonstrate by training and synthesizing samples from generative models of antibodies, T cell antigens and DNA polymerases.
For example, we train a manufacturing-aware generative model on 300 million observed human
antibodies and synthesize ∼1017 generated designs from the model, achieving a sample quality
comparable to a state-of-the-art protein language model, at a cost of 103 dollars. Using previous
methods, synthesis of a library of the same accuracy and size would cost roughly a quadrillion
(1015) dollars.",,,Confident,"United States of America,United States of America,United States of America,United States of America",,,,,,"Industry,Academia,Academia,Academia",,,,,,
scHyena,Biology,Protein or nucleotide language model (pLM/nLM),Korea Advanced Institute of Science and Technology (KAIST),"Gyutaek Oh, Baekgyu Choi, Inkyung Jung, Jong Chul Ye",2024-10-04,scHyena: Foundation Model for Full-Length Single-Cell RNA-Seq Analysis in Brain,https://arxiv.org/abs/2310.02713,11.0,,,,,8600000000000000000,3.5*24*60*60*2*35580000000000*0.4=8.6075136e+18,,,11000000001.000053,"Cells: 430,312 + 145,170 = 575,482
Genes per cell: 19,306
Total data points: 575,482 × 19,306 = 11,111,255,492 (1.11 × 10¹⁰)
Final estimate: 1.11 × 10¹⁰ tokens",,,,NVIDIA GeForce RTX 3090,2.0,,,"Single-cell RNA sequencing (scRNA-seq) has made significant strides in unraveling the intricate cellular diversity within complex tissues. This is particularly critical in the brain, presenting a greater diversity of cell types than other tissue types, to gain a deeper understanding of brain function within various cellular contexts. However, analyzing scRNA-seq data remains a challenge due to inherent measurement noise stemming from dropout events and the limited utilization of extensive gene expression information. In this work, we introduce scHyena, a foundation model designed to address these challenges and enhance the accuracy of scRNA-seq analysis in the brain. Specifically, inspired by the recent Hyena operator, we design a novel Transformer architecture called singe-cell Hyena (scHyena) that is equipped with a linear adaptor layer, the positional encoding via gene-embedding, and a {bidirectional} Hyena operator. This enables us to process full-length scRNA-seq data without losing any information from the raw data. In particular, our model learns generalizable features of cells and genes through pre-training scHyena using the full length of scRNA-seq data. We demonstrate the superior performance of scHyena compared to other benchmark methods in downstream tasks, including cell type classification and scRNA-seq imputation.",,,Confident,Korea (Republic of),,,,,,Academia,,,,,1378.5269407888657,Hardware
OmniGenome,Biology,Protein or nucleotide language model (pLM/nLM),University of Exeter,"Heng Yang, Ke Li",2024-07-15,OmniGenome: Aligning RNA Sequences with Secondary Structures in Genomic Foundation Models,https://arxiv.org/abs/2407.11242,3.0,,,186000000.0,,339006902584593350000,"1. Hardware setup: 8x NVIDIA RTX 4090 GPUs (3.30×10¹⁴ FLOP/s per GPU)

2. Training duration: 3 weeks (directly provided)
   = 1,814,400 seconds (3 weeks × 7 days × 24 hours × 3600 seconds)

3. Utilization rate: 40%

4. Final calculation:
   3.30×10¹⁴ FLOP/s × 8 GPUs × 1,814,400 seconds × 0.4 = 1.9×10²¹ FLOPs

Alternative:
6*54.2B*186M=60487200000000000000

Geometric Mean: 339006902584593356472",,,54200000001.00001,"54.2 billion tokens = 54.2 x 10^9 = 54,200,000,000 tokens",,,,NVIDIA GeForce RTX 4090,8.0,,,"The alignment between RNA sequences and structures in foundation models (FMs) has yet to be thoroughly investigated. Existing FMs have struggled to establish sequence-structure alignment, hindering the free flow of genomic information between RNA sequences and structures. In this study, we introduce OmniGenome, an RNA FM trained to align RNA sequences with respect to secondary structures based on structure-contextualised modelling. The alignment enables free and bidirectional mappings between sequences and structures by utilising the flexible RNA modelling paradigm that supports versatile input and output modalities, i.e., sequence and/or structure as input/output. We implement RNA design and zero-shot secondary structure prediction as case studies to evaluate the Seq2Str and Str2Seq mapping capacity of OmniGenome. Results on the EternaV2 benchmark show that OmniGenome solved 74% of puzzles, whereas existing FMs only solved up to 3% of the puzzles due to the oversight of sequence-structure alignment. We leverage four comprehensive in-silico genome modelling benchmarks to evaluate performance across a diverse set of genome downstream tasks, where the results show that OmniGenome achieves state-of-the-art performance on RNA and DNA benchmarks, even without any training on DNA genomes.",,,Likely,United Kingdom of Great Britain and Northern Ireland,,,,,,Academia,,,,,7102.366961281501,Hardware
ProtBERT-UniRef,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory,Med AI Technology","Ahmed Elnaggar, Michael Heinzinger,  Christian Dallago, Ghalia Rehawi, Yu Wang, Llion Jones, Tom Gibbs, Tamas Feher, Christoph Angerer, Martin Steinegger,  Debsindhu Bhowmik, Burkhard Rost",2021-05-04,ProtTrans:Towards Cracking the Language of Life's Code Through Self-Supervised Learning,"https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3 or 
https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9477085",5.0,,,420000000.0,Table 2,7.27e+21,"Table 2, two stages with different sequence lengths
Stage 1: 300k steps, sequence length 512, batch size 15360
Stage 2: 100k steps, sequence length 2048, batch size 2560

6ND formula
Stage 1: 6*300000*15360*512*420000000=5.9454259e+21
Stage 2: 6*100000*2560*2048*420000000=1.3212058e+21
Total: 7.2666317e+21",,,,,,,,Google TPU v3,512.0,,,,,,Confident,"Germany,United States of America,Korea (Republic of),United States of America,United States of America,China",,,,,,"Academia,Industry,Academia,Industry,Government",,,,,466529.759936117,
CPCProt,Biology,Protein or nucleotide language model (pLM/nLM),University of Toronto,"Amy X. Lu, Haoran Zhang, Marzyeh Ghassemi, Alan Moses",2020-11-10,Self-Supervised Contrastive Learning of Protein Representations By Mutual Information Maximization,https://www.biorxiv.org/content/10.1101/2020.09.04.283929v2.abstract,95.0,,,1700000.0,,,,Pfam,,32207059.0,,19.0,,,,,,,"Pretrained embedding representations of biological sequences which capture meaningful properties can alleviate many problems associated with supervised learning in biology. We apply the principle of mutual information maximization between local and global information as a self-supervised pretraining signal for protein embeddings. To do so, we divide protein sequences into fixed size fragments, and train an autoregressive model to distinguish between subsequent fragments from the same protein and fragments from random proteins. Our model, CPCProt, achieves comparable performance to state-of-the-art self-supervised models for protein sequence embeddings on various downstream tasks, but reduces the number of parameters down to 2% to 10% of benchmarked models. Further, we explore how downstream assessment protocols affect embedding evaluation, and the effect of contrastive learning hyperparameters on empirical performance. We hope that these results will inform the development of contrastive learning methods in protein biology and other modalities.",,,Confident,Canada,,,,,,Academia,,,,,,
MuPIPR,Biology,Protein interaction prediction,"University of California Los Angeles (UCLA),University of Pennsylvania","Guangyu Zhou, Muhao Chen, Chelsea J T Ju, Zheng Wang, Jyun-Yu Jiang, Wei Wang",2020-03-05,"Mutation effect estimation on protein–protein
interactions using deep contextualized representation
learning",https://academic.oup.com/nargab/article/2/2/lqaa015/5781175,65.0,,,,,,,,,21371700.0,"STRING Database: 66,235 sequences × 300 amino acids = 19,870,500 tokens
SKEMPI Dataset: 5,004 sequences × 300 amino acids = 1,501,200 tokens
Total = 19,870,500 + 1,501,200 = 21,371,700 tokens ≈ 2.1 × 10^7",,,,,,,,"The functional impact of protein mutations is reflected on the alteration of conformation and thermodynamics of protein–protein interactions (PPIs). Quantifying the changes of two interacting proteins upon mutations is commonly carried out by computational approaches. Hence, extensive research efforts have been put to the extraction of energetic or structural features on proteins, followed by statistical learning methods to estimate the effects of mutations on PPI properties. Nonetheless, such features require extensive human labors and expert knowledge to obtain, and have limited abilities to reflect point mutations. We present an end-to-end deep learning framework, MuPIPR (Mutation Effects in Protein–protein Interaction PRediction Using Contextualized Representations), to estimate the effects of mutations on PPIs. MuPIPR incorporates a contextualized representation mechanism of amino acids to propagate the effects of a point mutation to surrounding amino acid representations, therefore amplifying the subtle change in a long protein sequence. On top of that, MuPIPR leverages a Siamese residual recurrent convolutional neural encoder to encode a wild-type protein pair and its mutation pair. Multi-layer perceptron regressors are applied to the protein pair representations to predict the quantifiable changes of PPI properties upon mutations. Experimental evaluations show that, with only sequence information, MuPIPR outperforms various state-of-the-art systems on estimating the changes of binding affinity for SKEMPI v1, and offers comparable performance on SKEMPI v2. Meanwhile, MuPIPR also demonstrates state-of-the-art performance on estimating the changes of buried surface areas. The software implementation is available at https://github.com/guangyu-zhou/MuPIPR.",,,Confident,"United States of America,United States of America",,,,,,"Academia,Academia",,,,,,
Profile Prediction,Biology,"Protein or nucleotide language model (pLM/nLM),Proteins","University of Washington,Salesforce Research","Pascal Sturmfels, Jesse Vig, Ali Madani, Nazneen Fatema Rajani",2020-12-01,Profile Prediction: An Alignment-Based Pre-Training Task for Protein Sequence Models,https://arxiv.org/abs/2012.00195,25.0,,,,,499999999999999930000,"1. Hardware setup: 8x NVIDIA Tesla V100 GPUs (130 TFLOP/s each)

2. Training duration: 2 weeks (1.2e+6 seconds) - directly provided

3. Utilization rate: 40%

4. Final calculation:
   8 GPUs × 1.30e+14 FLOP/s × 1.2e+6 seconds × 0.4 utilization = 5.0e+20 FLOPs",Pfam,,8000000001.000044,"32 million sequences × 250 residues/sequence = 8 billion data points
[32 × 10^6 × 250 = 8 × 10^9]",,,,NVIDIA V100,8.0,,,"For protein sequence datasets, unlabeled data has greatly outpaced labeled data due to the high cost of wet-lab characterization. Recent deep-learning approaches to protein prediction have shown that pre-training on unlabeled data can yield useful representations for downstream tasks. However, the optimal pre-training strategy remains an open question. Instead of strictly borrowing from natural language processing (NLP) in the form of masked or autoregressive language modeling, we introduce a new pre-training task: directly predicting protein profiles derived from multiple sequence alignments. Using a set of five, standardized downstream tasks for protein models, we demonstrate that our pre-training task along with a multi-task objective outperforms masked language modeling alone on all five tasks. Our results suggest that protein sequence models may benefit from leveraging biologically-inspired inductive biases that go beyond existing language modeling techniques in NLP.",,,Confident,"United States of America,United States of America",,,,,,"Academia,Industry",,,,,4876.379818219857,Hardware
