Risk,Alternate Name,Lay Language,Revised
carbon monoxide diffusion capacity (DL(co)),,Decreased ability of lung to absorb and eliminate gases,2/10/2015 17:30
Carcinogenic,Secondary Cancer,The study treatment may cause you to develop another type of cancer.  This usually occurs years after treatment for the first cancer.,5/23/2016 14:00
Cardiac arrest,heart attack,Decreased blood flow to part of the heart causing damage to the heart muscle.  This may be serious or life threatening.,5/23/2016 13:33
Cardiac effusion,pericardial effusion,Collection of fluid around the heart which may cause a life threatening condition where the heart is unable to pump correctly due to the external pressure. This may require medical intervention to drain the fluid and remove the pressure.,2/10/2015 17:30
Cardiac infarction,heart attack,Decreased blood flow to part of the heart causing damage to the heart muscle.  This may be serious or life threatening.,5/23/2016 13:35
Cardiac ischemia,heart attack,Decreased blood flow to part of the heart causing damage to the heart muscle.  This may be serious or life threatening.,5/23/2016 13:35
Cardiac toxicity,Heart Damage,Damage to the heart,5/26/2016 13:54
Cardiac troponin I (cTnI),,Blood test to check for heart damage.,2/10/2015 17:30
Cardiac troponin T (cTnT),,Blood test to check for heart damage.,2/10/2015 17:30
cardiomyopathy,,Heart muscle becomes damaged and the heart doesn   t pump properly which can lead to heart failure,2/10/2015 17:30
Cardiopulmonary arrest,"asystole, cardiac arrest, circulatory arrest",Sudden stopping of the heart and lungs. This is life-threatening without medical intervention.,2/10/2015 17:30
cardiotoxicity,,"Heart problems (including shortness of breath, congestive heart failure, lower leg swelling, decreased heart function) often reversible, but may be permanent.",2/10/2015 17:30
carotid - vessel injury-artery,,Damage to a blood vessel in the neck,2/10/2015 17:30
Cataract,,Condition in which the lens of the eye becomes cloudy. Surgical intervention may be required.,2/10/2015 17:30
Cellulitis,Infection,"The study treatment may cause an increased risk of infection, such as cellulitis (an infection of the skin).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:07
cerebral trauma,,Damage to the brain,2/10/2015 17:30
cerebrospinal fluid leak,CSF,Leak of cerebrospinal fluid,2/10/2015 17:30
Changes in ECG,,Changes to the electrical activity of the heart. These can be mild and not require treatment or may be serious and require intervention.,2/10/2015 17:30
Changes in heart rhythm,,The heart may beat too fast or too slow.,5/12/2016 15:09
changes in taste,taste disorder,Strange taste in the mouth.,2/19/2015 14:08
Cheilitis,,Sores or irritation and cracking of the corners of the mouth or lips,2/10/2015 17:30
chemoradiation rash,,"Redness, flaking or sloughing of skin in the radiation treatment area",2/10/2015 17:30
Cholangitis,Infection,"The study treatment may cause an increased risk of infection, such as cholangitis (an infection of the bile duct).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:09
Cholecystitis,Infection,"The study treatment may cause an increased risk of infection, such as cholecystitis (an infection of the gallbladder).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:10
chronic neuropathy,,"Numbness, tingling, and pain in the fingers and toes. This occurs after a few treatments of study treatment and usually improves when the drug is stopped. This may be permanent.",2/10/2015 17:30
Chyle or lymph leakage,,Leakage of lymph fluid,2/10/2015 17:30
chylothorax,,Leakage of milky lymph fliud into the space around the lungs,2/10/2015 17:30
Cirrhosis,,"A chronic condition where the liver functions poorly leading to fatigue, weakness, fluid retention in the abdomen and other complications.",2/10/2015 17:30
CN I Smell,,Abnormal function of the nerve responsible for the sense of smell,2/10/2015 17:30
CN II Vision,,Abnormal function of the nerve responsible for sight,2/10/2015 17:30
"CN III Pupil, upper eyelid, extra ocular movements",,Abnormal function of the nerve that is responsible for movement of the eyelid and for control of the size of the pupil,2/10/2015 17:30
"CN IV Downward, inward movement of eye",,Abnormal function of the nerve that is responsible for controlling movement of the eye,2/10/2015 17:30
"CN IX Motor-pharynx; Sensory-ear, pharynx, tongue",,Abnormal function of the nerve responsible for swallowing and taste,2/10/2015 17:30
CN V Motor-jaw muscles; Sensory-facial,,Abnormal function of the nerve responsible for feeling in the face and control of the muscles for chewing,2/10/2015 17:30
CN VI Lateral deviation of eye,,Abnormal function of the nerve responsible for moving the eye to the side,2/10/2015 17:30
CN VII Motor-face; Sensory-taste,,Abnormal function of the nerve that controls facial expression,2/10/2015 17:30
CN VIII Hearing and balance,,Abnormal function of the nerve responsible for hearing and balance,2/10/2015 17:30
"CN X Motor-palate; pharynx, larynx",,"Abnormal function of the nerve that serves the stomach, heart, and voice box",2/27/2015 14:03
CN XI Motor-sternomastoid and trapezius,,Abnormal function of the nerve responsible for movement of the shoulders and turning of the head,2/10/2015 17:30
CN XII Motor-tongue,,Abnormal function of the nerve that is responsible for movement of the tongue,2/10/2015 17:30
CNS cerebrovascular ischemia,Stroke,Decrease in blood flow to the brain that can lead to a stroke.,2/10/2015 17:30
CNS Hemorrhage,,Bleeding in the brain,2/10/2015 17:30
CNS necrosis,cystic progression,Breakdown or death of brain tissue,2/27/2015 13:35
cognitive disturbance,,"Mental status changes, including memory loss and impaired thinking",2/10/2015 17:30
colitis,,Inflammation of the colon,2/10/2015 17:30
Colitis,Infection of the Colon,"Colon infection, which may cause stomach pain, weight loss, fatigue, diarrhea and bloody stools",5/23/2016 14:43
Coma,,Unconscious state,2/10/2015 17:30
Conduction abnormality NOS,,Irregular heartbeat,5/12/2016 15:02
confusional state,,Confusion,2/10/2015 17:30
Conjunctiva,Infection,Infection of the lining of the inner surface of the eyelid and the eyeball,5/23/2016 14:44
Conjunctivitis,,Irritation and redness of the thin membrane covering the eye,2/10/2015 17:30
Constipation,,Difficulty passing stool,2/10/2015 17:30
Coronary heart disease,CHD,"Coronary heart disease (CHD) is a common form of heart diesase which can lead to heart failure. CHD causes a waxy substance called plaque to build up inside the arteries of the heart. These arteries supply oxygen-rich blood to your heart muscle making them difficult to function. Over time plaque build up in these arteries can harden or break apart reducing the flow of oxygen-rich blood to the heart. This may cause the formation of a blood clot, chest pain or a heart attack.",2/10/2015 17:30
Cough,,Cough,2/11/2015 16:03
CPK,creatine phosphokinase,Increased blood level of enzyme from muscle,2/10/2015 17:30
Creatinine,,"Increased blood level of creatinine, a substance normally eliminated by the kidneys into the urine. This may mean that your kidneys are not functioning properly.",2/10/2015 17:30
Cushingoid appearance,,A change in body appearance due to high levels of steroid hormone,2/10/2015 17:30
CVA,cerebrovascular accident,Stroke,2/10/2015 17:30
Cystitis,Infection,"The study treatment may cause an increased risk of infection, such as cystitis (an infection of the bladder).  A low number of white blood cells may increase the risk of infection.  It may become life-threatening.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:45
Cytokine release syndrome,acute infusion reaction,"A group of symptoms caused by release of chemicals from tumor cells during the infusion. This can include nausea, headache, rapid heartbeat, shortness of breath, kidney damage, and rash. It can be life threatening and may be reversible.",2/10/2015 17:30
Decreased CD4 count,Decreased white blood cells,"Decrease in the number of a type of white blood cell important in fighting infections. If this should occur, this might lead to the occurrence of serious infections.  Symptoms of infection may include fever, pain, redness, and/or difficulty breathing.",5/23/2016 14:46
decubitus ulcer,skin breakdown,Skin sores,2/19/2015 13:56
Dehydration,,"Dehydration. If severe it may require medication, IV fluids and possibly hospitalization.",5/12/2016 14:59
delayed puberty,,Delayed puberty,2/27/2015 14:32
Depression,,Depression,2/11/2015 16:03
dermal change lymphedema,phlebolymphedema,Irreversible swelling as a result of blocked lymph flow that can significantly impact your quality of life.,2/27/2015 14:32
Dermatitis,Rash,"Skin irritation, rash",2/27/2015 14:33
Desquamation,Rash,Rash flaking or sloughing of skin,2/19/2015 13:48
Diaphoresis,,Abnormal sweating,2/10/2015 17:30
Diarrhea,,"Diarrhea, which is frequent, loose watery stools, which can cause dehydration and may require hospitalization and treatment with intravenous fluids. Severe and prolonged diarrhea can be life-threatening.",2/10/2015 17:30
Disseminated Intravascular Coagulation,DIC,A condition that is associated with uncontrolled clotting and bleeding in the body that can cause serious bleeding and organ damage. This can be serious and life threatening.,2/27/2015 14:33
distal parathesias,,"Numbness and tingling in arms, hands, legs or feet.",3/11/2016 13:18
Dizziness,,Dizziness,2/10/2015 17:30
Drowsiness,,Fatigue,2/10/2015 17:30
Dry eye syndrome,,Dry eye,2/10/2015 17:30
Dry Skin,,Dry Skin and itchiness,5/26/2016 13:55
DVT,deep venous thrombosis,"Blood clot formed in the veins of the leg which may manifest as a dull ache or heaviness in the limb. If the clot moves to other organs, it can be serious or life threatening.",2/10/2015 17:30
Dysarthria,"hoarseness, loss or alteration in voice, laryngitis voice changes",,2/11/2015 16:03
dysgeusia,,Taste changes which may affect the way foods normally taste,2/10/2015 17:30
dyspepsia,,Heartburn,2/10/2015 17:30
dysphagia,,Difficulty swallowing,2/10/2015 17:30
dyspnea,,Shortness of breath,2/10/2015 17:30
Dysuria,,Painful or difficult urination,2/11/2015 16:03
Edema,,Build up of fluid in the body or extremities causing swelling.,2/10/2015 17:30
Ejaculatory dysfunction,,Inability to ejaculate (release semen through the penis during orgasm),2/10/2015 17:30
electrolyte imbalance,electrolyte disturbance,"Changes in electrolytes (body salts) which usually do not cause any symptoms but that can sometimes cause fatigue, muscle weakness, cramping, rigidity, irregular heartbeat, or seizures. This can be severe and possibly life threatening. This could require hospitalization and intravenous treatment.",5/12/2016 15:03
"Elevated lipase, amylase",,"May indicate inflammation of the pancreas, which could result in abdominal pain and discomfort and could require hospitalization and intravenous treatment.",2/10/2015 17:30
"Elevated PTT, INR",,"Tests that measure how long it takes the blood to clot. If these tests are elevated, it means that your blood isn   t clotting normally and you have an increased risk of bleeding or bruising. This could be serious and life threatening and may require hospitalization and a blood transfusion.",2/10/2015 17:30
Elevated uric acid levels,,"Which may worsen kidney function; cause joint pain (gout) and kidney stones. May cause kidney failure, which may be reversible",2/10/2015 17:30
embolism,thrombus,Formation or presence of a blood clot inside a blood vessel.,2/10/2015 17:30
encephalitis,Infection,Infection in the brain,5/23/2016 14:46
encephalomyelitis,Infection,Infection in the brain and spinal cord,5/23/2016 14:46
encephalopathy,,Condition of the brain that severely alters thinking and may affect conciousness that can be serious or life threatening.,2/10/2015 17:30
endocarditis,Infection,Infection of the heart,5/23/2016 14:47
enteritis,,Inflammation of the small bowel,2/10/2015 17:30
epiphora,watery eye,Tearing,2/27/2015 14:34
epistaxis,,Bloody nose,2/10/2015 17:30
erectile dysfunction,,Inability to have an erection of the penis adequate for sexual intercourse. Also called impotence.,2/10/2015 17:30
erythema,,Redness of the skin,2/10/2015 17:30
erythema multiforme,"Stevens-Johnson Syndrome, Toxic Epidermal Necrolysis, TEN","Severe skin and stomach lining reaction that may include rash and sloughing or breakdown of tissue. This may manifest as various blisters, hives, and other lesions in various locations on the body including palms and soles, face &amp; other extremities. This is serious and may be life threatening.",2/27/2015 15:21
esophagitis,,"Inflammation, irritation or swelling of the esophagus, the tube that leads from the back of the mouth to the stomach.",2/10/2015 17:30
euphoria,,Exaggerated feeling of well being,2/10/2015 17:30
Exostosis,,Irregular outgrowth of bone,2/10/2015 17:30
extrapyramidal disorder,"involuntary movement, restlessness, extrapyramidal syndrome",Restless movements caused by abnormalties in the part of the brain that coordinates movement,2/27/2015 14:16
Extravasation,Extravasate,To leak out of the vein during an infusion or injection. This may cause serious damage to local tissues.,5/26/2016 11:06
extremity-lower - Vessel injury-artery,,Damage to a blood vessel in a leg,2/10/2015 17:30
extremity-lower - Vessel injury-vein,,Damage to a blood vessel that carries blood back from legs,2/10/2015 17:30
extremity-upper - Vessel injury-artery,,Damage to a blood vessel in the arm,2/10/2015 17:30
extremity-upper - vessel injury-vein,,Damage to a blood vessel in the arm,2/10/2015 17:30
eyelid dysfunction,,Abnormal eyelid function,2/10/2015 17:30
Fatigue,,"Feeling tired, tiredness, weakness.",2/10/2015 17:30
Febrile neutropenia,"Febrile neutropenia (fever of unknown origin without clinically or microbiologically documented infection)(ANC &lt;1.0 x 10e9/L, fever &gt;=38.5 degrees C)",Fever with dangerously low white blood cell count,5/23/2016 14:49
Feminization of male,,The development of female physical characteristics in males,2/10/2015 17:30
"femoral head, slipped capital femoral epiphysis",,Irregular hip joint growth or damage,2/10/2015 17:30
FEV(1),,Decreased volume of air that the lungs can hold,2/10/2015 17:30
Fibrillation,,Irregular beat of the heart or other muscle,2/10/2015 17:30
fibrinogen,,Abnormal amount of blood protein needed for blood clotting,2/10/2015 17:30
fibrosis,,Scar or thickening,2/10/2015 17:30
Fistula,,"An abnormal connection between two different organs. This side effect may lead to life-threatening complications including serious infections, bleeding or dysfunction of the organs.",5/23/2016 14:49
Flatulence,,Too much gas passed from the rectum,2/10/2015 17:30
Fluid in lungs,,"Fluid in the lungs which can cause shortness of breath. If severe, it may require hospitalization and treatment. It can be serious or life threatening.",2/10/2015 17:30
Flushing,,Sudden reddening of the face and/or neck,2/10/2015 17:30
fracture,,A broken bone,2/10/2015 17:30
Functional obstruction of bowel,neuroconstipation,"Abnormally slow bowel contraction which can feel like constipation (sometimes severe) and may cause pain, nausea and vomiting",2/10/2015 17:30
Gamma-Glutamyl transpeptidase,GGT,Abnormal blood level of liver enzyme,2/27/2015 14:27
Gastritis,,Inflammation of the lining of the stomach,2/10/2015 17:30
Gastrointestinal Stricture,Gastrointestinal Stenosis,Abnormal narrowing of the gastrointestinal tract which may require hospitalization and surgery,2/27/2015 14:43
generalized weakness,,Muscle weakness of the whole body,2/10/2015 17:30
GI perforation,"bowel perforation, gastrointestinal performation","Bowel perforation (a hole in the intestines) that could result in a serious, life-threatening infection and may require surgery.",2/27/2015 14:26
Gingivitis,Infection,Infection of the mouth,5/23/2016 14:49
Glaucoma,,High pressure within the eyeball possibly leading to blindness. May require medical intervention to prevent visual impairment.,2/10/2015 17:30
Glomerular filtration rate,,A kidney function test to assess whether or not your kidneys are functioning properly.,2/10/2015 17:30
Gonadotropin secretion abnormality,,"Abnormal sex hormone production. In pre-menopausal women, underproduction of these hormones may cause menstrual periods to stop (amenorrhea), infertility and vaginal dryness. In men, underproduction of these hormones may result in decreased sperm production and consequent infertility.",2/10/2015 17:30
Graft Versus Host Disease,"GvHD, GVHD","This is a condition in which immune cells from the donor   s tissue attack your organs. The risk of severe GVHD depends on the type of BMT (bone marrow transplant) or SCT (stem cell transplant) and the quality(how closely) the patient and donor cells match. There are acute and chronic forms of GVHD. Acute GVHD usually affects the skin, intestines, and liver and may start one week to three months after transplant. Chronic GVHD begins later and can affect these organs as well as the lung, mucous membranes and/or other organs. Both of these can require treatment and be serious or life threatening.",2/27/2015 14:27
Growth hormone secretion abnormality,,Abnormal growth hormone (GH) production. Excess GH can lead to overgrowth of extremities in adults and abnormally rapid (but otherwise normal) growth in children. Insufficient production of GH can cause stunted growth in children. May require hormone replacement or supression therapy.,2/10/2015 17:30
Guillain-Barre syndrome,,"A disorder in which the body   s immune system attacks part of the peripheral nervous system. Symptoms of this disorder include varying degrees of weakness or tingling sensations in the legs. In many instances, the weakness and abnormal sensations spread to the arms and upper body. These symptoms can increase in intensity until certain muscles cannot be used at all and, when severe, the patient is almost totally paralyzed. In these cases, the disorder is life threatening, potentially interfering with breathing and, at times, with blood pressure or heart rate.",3/15/2017 7:55
gum hyperplasia,,Thickened gums,2/10/2015 17:30
Gynecomastia,breast change,Enlarged breasts in males,2/27/2015 14:34
Hand-foot skin reaction,,"Hand-foot skin reaction including numbness, tingling, redness, swelling, pain and/or discomfort of the hands or feet that may affect daily activiites",2/10/2015 17:30
Haptoglobin (decreased),,Low levels of a blood protein called haptoglobin. This occurs when red cells are being destroyed and is associated with anemia which might require treatment.,2/10/2015 17:30
Headache,,Pain in the head,2/10/2015 17:30
heart failure,"decreased heart function, damage to heart muscle","The heart is not able to pump blood properly, which can cause weakness and tiredness, fluid retention, and fluid build-up in the lungs, which can cause shortness of breath.",2/10/2015 17:30
heart palpitations,,Fast and hard heartbeat,5/12/2016 15:04
hematoma,,"A bruise, a black and blue mark",2/10/2015 17:30
hematuria,,Blood in the urine,2/10/2015 17:30
hemoglobin (decreased),,Anemia with decrease in a part of red blood cells that carries oxygen in the body,2/10/2015 17:30
Hemolysis,"immune hemolytic anemia, drug-related hemolysis",Breakdown in red blood cells that leads to anemia.,3/31/2015 13:05
Hemolytic Uremic Syndrome,HUS,"This is a condition associated with decrease in red cells, platelets and kidney function. This may cause high blood pressure or swelling of the face, hands, feet, or the entire body. This can progress to acute kidney failure which can be life threatening.",2/27/2015 14:28
hemophagocytic lymphohistocytic-like syndrome,hemophagocytic lymphohistocytic syndrome,"A disorder caused by suppression of your body   s immune, or defense, system, causing white blood cells to attack other blood cells. This serious and life-threatening disease may be manifested by fever, enlargement of your liver, and swollen lymph nodes. Severe bone marrow and blood changes can be serious and life threatening.",4/23/2015 11:19
Hemoptysis,,Vomiting or coughing up blood,2/10/2015 17:30
Hemorrhagic cystitis,,Inflammation of the bladder with severe bleeding,2/10/2015 17:30
hepatic enlargement,,Enlarged liver,2/10/2015 17:30
hepatic failure,liver failure,"Liver problems or failure which can cause fatigue, and jaundice (yellowing of the skin and eyes). Although this is usually mild and reversible, this can be serious or life threatening and may require hospitalization and surgery.",2/10/2015 17:30
herpes meningoencephalitis,"herpes, infection","The study treatment may cause an increased risk of infection, such as herpes meningoencephalitis. The layers of thin tissue that cover your brain are called meninges and an infection in these tissues is called meningitis. When your brain becomes inflamed or infected, the problem is called encephalitis. If both the meninges and the brain appear to be involved, the condition is called meningoencephalitis. Symptoms of herpes meningoencephalitis include headache, fever, neck stiffness, sensitivity to light, seizures, trouble thinking clearly, personality changes, unusual behavior and/or unconsciousness. This infection may become life-threatening and in severe cases cause long-term brain damage including trouble thinking, controlling movement, hearing, seeing, or speaking. This infection is usually treated with IV anti-viral medication but in severe cases long-term care and medications would be needed.",2/10/2015 17:30
hiccoughs,,Hiccups,2/10/2015 17:30
Hot flashes,"hot flushes, flushing",Hot flashes,2/19/2015 14:06
Hydrocephalus,,The abnormal buildup of cerebrospinal fluid in the ventricles of the brain which may cause confusion and loss of conciousness.,2/10/2015 17:30
Hyper-parathyroidism,,"Increased production of the hormone responsible for regulating bone minerals. May cause bones to become more fragile, muscular weakness and generally reduced muscle tone.",2/10/2015 17:30
Hyperbilirubinemia,,"Abnormally high levels of bilirubin in the blood. (Bilirubin is a bile pigment produced by the liver which is normally and continually excreted from the body) This may indicate that too many red blood cells are being destroyed, or that the liver or gallbladder is not functioning properly.",2/10/2015 17:30
Hypercalcemia,,High blood calcium level,2/10/2015 17:30
Hypercholesteremia,,Increased blood cholesterol level,2/10/2015 17:30
Hyperglycemia,"High Blood Sugar, Diabetes","Excess sugar in the blood, if severe may require hospitalization and urgent treatment. (diabetes)",2/10/2015 17:30
Hyperkalemia,High Potassium,"High levels of potassium in the blood, which can usually be treated but if severe can cause the heart to stop beating. This can be very serious and life threatening.",2/10/2015 17:30
