question,gold,category
"50세 남성이 전신에 심한 가려움증을 호소하며 내원하였다. 환자는 3개월 전부터 증상이 시작되었으며 밤에 더 심해진다고 한다. 진찰 시 피부는 건조하며 긁은 자국이 많이 보인다. 환자는 최근 5kg의 체중 감소가 있었고 전신 피로감과 다뇨를 호소한다. 이 환자의 가려움증의 가장 가능성 높은 원인은?

혈액 검사 결과 BUN 45 mg/dL, 크레아티닌 2.8 mg/dL, 칼슘 9.8 mg/dL, 인 5.8 mg/dL, PTH 350 pg/mL이다.

A. 당뇨병
B. 만성 신부전
C. 일차성 담즙성 간경변
D. 갑상선기능항진증
E. 심인성 가려움증",B,Nephrology
"35세 여성이 3주간 지속된 전신 가려움증을 주소로 내원하였다. 환자는 최근 백색 변과 어두운 소변 색을 보였다고 하며, 특히 밤에 가려움증이 심해진다고 호소한다. 신체 검사에서 공막의 황달과 오른쪽 상복부 압통이 관찰된다. 이 환자에게 시행해야 할 가장 적절한 추가 검사는?

기본 혈액 검사에서 총 빌리루빈 4.2 mg/dL, 직접 빌리루빈 3.5 mg/dL, AST 120 U/L, ALT 135 U/L, ALP 320 U/L, GGT 280 U/L로 측정되었다.

A. 항핵항체(ANA) 검사
B. 항미토콘드리아 항체(AMA) 검사
C. 복부 초음파 검사
D. 간 생검
E. ERCP(내시경적 역행성 담췌관 조영술)",C,Gastroenterology
"65세 남성 환자가 2개월 전부터 시작된 전신 가려움증을 호소하며 내원하였다. 환자는 특히 목, 팔, 다리에 심한 가려움증을 느끼며, 밤에 더 심해진다고 한다. 피부 검사에서 두드러진 발진은 없으나 긁은 자국들이 관찰된다. 환자는 최근 체중 감소, 식은땀, 야간 발열 증상이 있었다고 한다. 이 환자의 가려움증에 대한 가장 적절한 치료는?

혈액 검사에서 헤모글로빈 10.5 g/dL, 백혈구 12,000/μL, 혈소판 450,000/μL, LDH 350 U/L로 측정되었다. 복부 CT에서 다발성 림프절 종대가 발견되었고, 림프절 생검 결과 호지킨 림프종으로 진단되었다.

A. 항히스타민제 투여
B. 국소 스테로이드제 도포
C. SSRI 계열 약물 투여
D. 광선요법
E. 항암화학요법",E,Hematology and Oncology
"28세 여성이 2주 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 임신 32주 상태이며, 특히 배와 팔다리에 심한 가려움증을 호소한다. 진찰 시 복부와 사지에 다수의 홍반성 구진과 판(plaque)이 관찰되며, 일부는 융합되어 있다. 환자는 이전 임신에서도 비슷한 증상이 있었으나 출산 후 저절로 호전되었다고 한다. 이 환자의 가장 가능성 높은 진단은?

피부 병변 사진: 복부와 팔다리에 다수의 홍반성 구진과 판이 관찰되며, 일부는 융합되어 있고 배꼽 주위로 중심성 분포를 보인다. 혈액 검사에서 빌리루빈과 간효소 수치는 정상이었다.

A. 임신성 담즙정체증
B. 임신성 소양성 여포염
C. 임신성 유사천포창
D. 임신성 소양진
E. 다형홍반",D,Obstetrics
"75세 남성이 3개월간 지속된 전신 가려움증으로 내원하였다. 환자는 특별한 피부 발진 없이 전신, 특히 등과 다리에 심한 가려움증을 호소한다. 피부 검사에서 건조한 피부와 긁은 자국만 관찰된다. 환자는 최근 체중 감소와 쉽게 피로해지는 증상이 있다고 한다. 신체 검진에서 비장 비대가 확인되었다. 이 환자에게 시행해야 할 가장 적절한 검사는?

말초 혈액 도말 사진: 다수의 비정형 림프구가 관찰되며, 세포질이 풍부하고 핵/세포질 비율이 증가되어 있다. CBC 결과: WBC 25,000/μL (림프구 75%), Hb 10.2 g/dL, 혈소판 110,000/μL.

A. 골수 생검
B. 피부 생검
C. 흉부 X선 검사
D. 복부 초음파 검사
E. 혈청 면역전기영동 검사",A,Hematology and Oncology
"45세 여성이 2개월간 지속된 가려움증을 주소로 내원하였다. 가려움증은 특히 밤에 심해지며, 환자의 남편도 비슷한 증상이 있다고 한다. 피부 검사에서 손가락 사이, 손목의 굴측부, 겨드랑이, 배꼽 주위, 둔부, 서혜부에 다수의 구진과 선상 병변이 관찰된다. 환자는 최근 새로운 애완동물을 입양했다고 한다. 피부 긁어내기 검사에서 특징적인 기생충이 발견되었다. 이 환자에게 가장 적절한 치료는?

피부 긁어내기 검사 현미경 소견: 난원형 충체와 S자 모양의 굴(burrow)이 관찰됨.

A. 국소 코르티코스테로이드 도포
B. 경구 항히스타민제 투여
C. 5% 퍼메트린 크림 도포
D. 국소 타크로리무스 도포
E. UVB 광선요법",C,Dermatology
"30세 여성이 2주 전부터 시작된 심한 가려움증을 주소로 내원하였다. 환자는 임신 32주 상태이며, 특히 손바닥과 발바닥을 포함한 전신에 피부 발진 없는 가려움증을 호소한다. 가려움증은 특히 밤에 심해져 수면을 방해한다고 한다. 환자는 첫 임신이며, 이전에 유사한 증상을 경험한 적은 없다. 신체 검사에서 특별한 피부 병변은 관찰되지 않으나, 황달이 경미하게 관찰된다. 이 환자의 가장 가능성 높은 진단은?

혈액 검사 결과: 총 빌리루빈 1.8 mg/dL, 직접 빌리루빈 0.9 mg/dL, AST 80 U/L, ALT 100 U/L, ALP 320 U/L, GGT 35 U/L, 혈청 담즙산 18 μmol/L(정상: <10 μmol/L).

A. 임신성 소양진(PUPPP)
B. 임신성 담즙정체증
C. 임신성 유사천포창
D. 임신성 여포염
E. 급성 지방간염",B,Obstetrics
"45세 여성이 2주 전부터 시작된 심한 가려움증으로 내원하였다. 환자는 특별한 피부 발진 없이 전신, 특히 팔다리와 등에 심한 가려움증을 호소한다. 환자는 최근 감기 증상으로 아목시실린을 복용했다고 한다. 신체 검사에서 황달이 관찰되며, 복부 진찰에서 우상복부 압통이 있다. 이 환자에서 가려움증의 원인을 확인하기 위해 시행해야 할 가장 적절한 검사는?

혈액 검사 결과: 총 빌리루빈 3.5 mg/dL, 직접 빌리루빈 2.8 mg/dL, AST 650 U/L, ALT 850 U/L, ALP 120 U/L, GGT 80 U/L. 혈청 IgM anti-HAV(-), HBsAg(-), anti-HBc IgM(-), anti-HCV(-).

A. 항핵항체(ANA) 검사
B. 혈청 효소면역검사(ELISA)로 약물 특이 항체 검출
C. 복부 초음파 검사
D. 간 생검
E. 약물 알레르기 피부반응검사",B,Gastroenterology
"68세 남성이 3개월 전부터 시작된 심한 가려움증으로 내원하였다. 환자는 특별한 피부 발진 없이 전신 가려움증을 호소하며, 특히 밤에 악화된다고 한다. 환자는 최근 건조한 피부로 인해 자주 목욕하고 로션을 사용한다고 하나 증상은 호전되지 않았다. 환자는 당뇨병, 고혈압으로 메트포르민과 리시노프릴을 복용 중이며, 최근 우울증으로 파록세틴을 시작했다. 혈액 검사에서 특이 소견은 없었으며, 갑상선 기능, 신장 기능, 간 기능 검사도 정상이었다. 피부 병변이 없는 노인 환자의 전신 가려움증에 대한 가장 적절한 초기 치료 접근법은?

A. 국소 스테로이드제 도포
B. 경구 항히스타민제 투여와 보습제 사용
C. 약물 중단 및 변경
D. UVB 광선요법
E. 경구 시클로스포린 투여",B,Dermatology
"35세 여성이 3주 전부터 시작된 얼굴과 목의 가려움증과 발진으로 내원하였다. 환자는 발진이 햇빛 노출 후 악화된다고 하며, 최근 관절통과 피로감도 호소한다. 신체 검사에서 양쪽 뺨과 코 위에 홍반성 발진이 관찰되며, 손가락 관절에 압통과 경미한 부종이 있다. 환자는 최근 특별한 약물 복용력은 없다고 한다. 이 환자의 가려움증과 피부 발진의 가장 가능성 높은 원인은?

피부 병변 사진: 양쪽 뺨과 코 위에 경계가 명확한, 나비 모양의 붉은 발진이 관찰된다. 일반 혈액 검사에서 경미한 빈혈과 백혈구 감소증이 관찰되었다.

A. 접촉성 피부염
B. 약물 발진
C. 전신홍반루푸스
D. 다형홍반
E. 장미색 비강진",C,Rheumatology
"40세 여성이 2주 전부터 시작된 얼굴, 목, 팔, 다리의 가려운 발진으로 내원하였다. 환자는 최근 새로운 향수와 화장품을 사용하기 시작했으며, 증상이 화장품을 사용한 부위에 국한되어 있다고 한다. 피부 검사에서 해당 부위에 홍반, 부종, 소수포, 삼출물, 그리고 긁은 자국이 관찰된다. 환자는 이전에도 화장품에 대한 유사한 반응이 있었다고 한다. 이 환자의 가장 가능성 높은 진단은?

피부 사진: 얼굴, 목, 노출된 팔 부위에 경계가 명확한 홍반성 반점과 구진, 소수포성 병변이 관찰되며 일부 삼출물과 가피가 동반되어 있다.

A. 아토피 피부염
B. 알레르기성 접촉 피부염
C. 자극성 접촉 피부염
D. 지루성 피부염
E. 약물 발진",B,Dermatology
"32세 여성이 피부 발진과 가려움증을 주소로 내원하였다. 환자는 3일 전부터 갑자기 시작된 몸통과 팔다리의 가려운 발진이 있다고 한다. 증상은 따뜻한 물로 샤워할 때와 열이 있을 때 악화된다고 한다. 환자는 최근 감기 증상으로 아스피린을 복용했다. 신체 검사에서 몸통과 팔다리에 다수의 팽진(wheal)과 홍반이 관찰되며, 피부를 긁으면 팽진이 발생하는 현상도 관찰된다. 이 환자에게 진단을 위해 시행할 가장 적절한 검사는?

피부 사진: 몸통과 팔다리에 다양한 크기의 홍반성 팽진이 관찰되며, 피부에 선을 긋자 선형의 팽진이 나타난다(양성 더모그래피즘).

A. 특정 IgE 항체 검사
B. 피부단자검사
C. 냉동글로불린 검사
D. 더모그래피즘 검사
E. 패치 테스트",D,Dermatology
"42세 여성이 3개월 전부터 시작된 전신 가려움증과 열감을 주소로 내원하였다. 환자는 체중 감소가 있었으며, 덥고 긴장될 때 증상이 악화된다고 한다. 신체 검사에서 안면 홍조와 입술의 청색증이 관찰되며, 간 비대와 비장 비대가 촉진된다. 이 환자의 가려움증의 가장 가능성 높은 원인은?

혈액 검사 결과: 헤모글로빈 18.5 g/dL, 적혈구용적률 55%, 백혈구 12,000/μL, 혈소판 450,000/μL.

A. 다발성 골수종
B. 진성 적혈구증가증
C. 갑상선기능항진증
D. 폐쇄성 황달
E. 만성 신부전",B,Hematology and Oncology
"64세 남성이 3개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 간경변 진단을 받았으며, 특히 밤에 심해지는 가려움증을 호소한다. 환자는 최근 식욕 감소와 체중 감소가 있었고, 복수와 하지 부종이 관찰된다. 이 환자의 가려움증에 대한 가장 적절한 일차 치료는?

혈액 검사 결과: 총 빌리루빈 5.2 mg/dL, 직접 빌리루빈 3.8 mg/dL, AST 90 U/L, ALT 65 U/L, ALP 350 U/L, GGT 320 U/L, 혈청 알부민 2.8 g/dL, INR 1.8.

A. 콜레스티라민
B. 리팜핀
C. 날트렉손
D. 우르소데옥시콜산
E. 세로토닌 재흡수 억제제",A,Gastroenterology
"58세 여성이 6주 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특별한 피부 발진 없이 전신, 특히 손과 발에 심한 가려움증을 호소한다. 환자는 최근 체중 감소, 열감, 빈맥, 과도한 발한을 경험했다고 한다. 신체 검사에서 맥박 110회/분, 손 떨림, 갑상선 종대가 관찰된다. 이 환자의 가려움증의 가장 가능성 높은 원인은?

혈액 검사 결과: TSH 0.01 mIU/L(정상: 0.4-4.0), 유리 T4 3.2 ng/dL(정상: 0.8-1.8).

A. 당뇨병
B. 갑상선기능항진증
C. 만성 신부전
D. 원발성 담즙성 담관염
E. 약물 부작용",B,Endocrinology
"70세 남성이 2개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특별한 피부 발진 없이 전신, 특히 등과 팔다리에 가려움증을 호소한다. 환자는 최근 건조한 피부로 인해 증상이 더 심해졌다고 한다. 환자는 고혈압과 당뇨병으로 약물 치료 중이다. 신체 검사에서 전신의 건조한 피부(xerosis)와 긁은 자국이 관찰된다. 환자는 최근 다른 피부 질환이나 전신 증상은 없다고 한다. 이 환자에게 필요한 가장 적절한 초기 검사는?

A. 혈청 크레아티닌 및 BUN 검사
B. 갑상선 기능 검사(TSH, T4)
C. 간기능 검사 및 빌리루빈
D. 흉부 X선 검사
E. 피부 생검",A,Dermatology
"25세 남성이 2주 전부터 시작된 오른쪽 가슴과 등의 통증과 가려움증을 주소로 내원하였다. 환자는 처음에는 가벼운 따끔거림이 있었으나, 점차 심한 화끈거림과 가려움으로 발전했다고 한다. 신체 검사에서 오른쪽 가슴과 등을 따라 피부분절(dermatome)을 따라 분포하는 다수의 군집된 수포성 발진이 관찰된다. 일부 병변은 진물이 나오고 가피가 형성되어 있다. 이 환자의 가려움증과 통증에 대한 가장 적절한 치료는?

피부 사진: 오른쪽 흉부와 등 부위에 T4-T5 피부분절을 따라 다수의 군집된 수포성 발진이 관찰되며, 일부는 미란과 가피 형성이 동반되어 있다.

A. 국소 코르티코스테로이드 도포
B. 경구 아시클로버 투여
C. 경구 발라시클로버 투여
D. 경구 페니실린 투여
E. 국소 타크로리무스 도포",C,Dermatology
"60세 남성이 3개월 전부터 시작된 머리, 목, 몸통의 가려운 발진을 주소로 내원하였다. 환자는 발진이 햇빛 노출 부위에 주로 발생하며, 햇빛에 노출된 후 악화된다고 한다. 목 부위에는 poikiloderma(색소 침착, 색소 탈실, 모세혈관 확장, 표피 위축이 혼합된 상태)가 관찰된다. 환자는 최근 식욕 부진, 체중 감소, 심한 피로감을 경험했다고 한다. 이 환자의 가장 가능성 높은 진단은?

피부 사진: 목과 상부 흉부에 poikiloderma(색소 침착과 탈색, 모세혈관 확장, 표피 위축)가 관찰되며, 손등에 Gottron 징후와 유사한 병변이 관찰된다. 혈액검사 결과 : CPK 수치는 정상이나, 항핵항체 양성, 항Jo-1 항체 음성이다.

A. 진행성 전신성 경화증
B. 피부근염
C. 전신홍반루푸스
D. 피부T세포림프종
E. 성인형 스틸병",B,Rheumatology
"38세 여성이 4개월 전부터 시작된 전신 가려움증을 주소로 내원하였다. 환자는 특별한 피부 발진 없이 가려움증을 호소하며, 밤에 더 심해진다고 한다. 환자는 당뇨병, 고혈압, 갑상선기능저하증으로 약물 치료 중이며, 4개월 전부터 만성 요통으로 트라마돌을 간헐적으로 복용하고 있다. 신체 검사에서 특이 소견은 없으며, 기본 혈액 검사, 간기능 검사, 신기능 검사, 갑상선 기능 검사는 모두 정상이다. 이 환자에게 가장 의심해 볼 수 있는 가려움증의 원인과 필요한 추가 검사는?

A. 다발성 경화증 - 뇌 및 척수 MRI 검사
B. 만성 특발성 두드러기 - 피부 생검
C. 약물 유발성 가려움증 - 약물 중단 및 재투여 시험
D. 림프종 - 흉부, 복부, 골반 CT 검사
E. 심인성 가려움증 - 정신과 평가",C,Pharmacology
"45세 여성이 3주 전부터 시작된 심한 가려움증을 주소로 내원하였다. 환자는 최근 인후통과 발열로 아목시실린-클라불란산을 10일간 복용했으며, 치료 시작 5일 후부터 전신에 가려운 발진이 나타났다고 한다. 피부 검사에서 전신에 다형성 홍반성 반구진성 발진이 관찰되며, 일부는 미란과 수포 형성을 동반하고 있다. 구강 점막과 생식기 점막에도 유사한 병변이 관찰된다. 이 환자의 진단과 가장 적절한 치료는?

피부 사진: 전신에 다양한 크기와 형태의 홍반성 반구진성 발진이 관찰되며, 일부 병변은 표적 모양(target-like)을 보이고, 구강 내 점막에 미란성 병변이 관찰된다. 혈액 검사에서 호산구 증가증이 확인되었다.

A. 스티븐스-존슨 증후군 - 약물 중단 및 중증도에 따라 지지 치료 또는 전신 코르티코스테로이드 투여
B. 다형홍반 - 국소 코르티코스테로이드 도포
C. 급성 전신성 발진성 농포증 - 항생제 투여
D. 호산구성 약물 발진 - 항히스타민제 투여
E. 독성표피괴사용해 - 화상 치료센터로 이송",A,Dermatology
"58세 남성이 심한 구역감과 식욕 저하로 병원에 왔다. 환자는 수년 전 당뇨병과 고혈압 진단을 받았지만, 약물 복용을 자주 거르며 정기적인 검진을 받지 않았다고 한다. 최근 몇 주 동안 점점 피곤해지고, 피부가 가려워지는 증상이 나타났으며, 가족은 환자가 예전보다 집중력이 떨어지고 자주 졸려 보인다고 했다. 신체 진찰에서 혈압 160/100 mmHg, 심박수 88회/분, 호흡수 20회/분이었으며, 피부에 미세한 결절들이 촉지되었다. 이 환자의 가장 가능성 높은 진단은?

혈액검사: BUN 98 mg/dL, 크레아티닌 9.2 mg/dL, 나트륨 138 mEq/L, 칼륨 6.2 mEq/L, 중탄산 14 mEq/L, 헤모글로빈 7.8 g/dL. 소변검사: 단백뇨 3+, 적혈구 10-15/HPF, 요비중 1.010.

A. 급성 신부전
B. 만성 신부전
C. 급성 요독증
D. 신증후군
E. 신혈관성 고혈압",B,Nephrology
"55세 남성이 30분 전부터 시작된 가슴 중앙의 압박감을 주소로 응급실에 내원하였다. 환자는 당뇨병과 고혈압으로 치료 중이며, 10갑년의 흡연력이 있다. 통증은 안정 시에도 지속되며 왼쪽 어깨와 턱으로 방사된다고 한다. 신체 검진에서 활력징후는 혈압 160/95 mmHg, 맥박 92회/분, 호흡수 22회/분, 체온 36.7°C이다. 심음은 규칙적이고 심잡음은 청진되지 않는다. 다음 중 이 환자의 가슴통증을 감별하기 위한 병력청취 시 가장 중요한 질문은?

A. 가족 중 심장질환의 병력이 있는가?
B. 통증이 식사와 관련이 있는가?
C. 통증이 자세 변화에 따라 악화되는가?
D. 이전에도 유사한 통증을 경험한 적이 있는가?
E. 최근 상기도 감염 증상이 있었는가?",D,Cardiology
